local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
41,101,11,1,0.02402111515402794,58.25082508250825,353,606
41,102,11,2,0.01145689282566309,67.82178217821783,411,606
41,103,11,3,0.006456664763391018,89.10891089108911,540,606
41,104,11,4,0.003955879248678684,90.92409240924091,551,606
41,105,11,5,0.003515214193612337,92.9042904290429,563,606
41,106,11,6,0.002835927065461874,95.21452145214522,577,606
41,107,11,7,0.0027249569538980722,95.04950495049505,576,606
41,108,11,8,0.0023830607533454895,95.54455445544554,579,606
41,109,11,9,0.002580750035122037,95.37953795379538,578,606
41,110,11,10,0.0019144238904118538,97.1947194719472,589,606
73,101,11,1,0.022044897079467773,61.25211505922166,362,591
73,102,11,2,0.012508278712630272,64.80541455160744,383,591
73,103,11,3,0.004837830550968647,89.34010152284264,528,591
73,104,11,4,0.003564939834177494,91.53976311336717,541,591
73,105,11,5,0.0031097163446247578,94.585448392555,559,591
73,106,11,6,0.0022063918877393007,96.95431472081218,573,591
73,107,11,7,0.0019277803367003798,97.29272419627749,575,591
73,108,11,8,0.00144513591658324,97.80033840947546,578,591
73,109,11,9,0.0013206569710746408,98.13874788494078,580,591
73,110,11,10,0.0014349432894960046,98.13874788494078,580,591
51,101,11,1,0.022602694109082222,61.09154929577465,347,568
51,102,11,2,0.00966995395720005,80.98591549295774,460,568
51,103,11,3,0.0052550183609128,89.61267605633803,509,568
51,104,11,4,0.004800493363291025,89.61267605633803,509,568
51,105,11,5,0.0037673350889235735,90.49295774647888,514,568
51,106,11,6,0.003594958456233144,92.0774647887324,523,568
51,107,11,7,0.0029904861003160477,94.54225352112677,537,568
51,108,11,8,0.002310011303052306,96.47887323943662,548,568
51,109,11,9,0.0021140107419341803,96.47887323943662,548,568
51,110,11,10,0.0023018314968794584,95.77464788732394,544,568
74,101,11,1,0.023374319076538086,57.63016157989228,321,557
74,102,11,2,0.01052426639944315,74.86535008976661,417,557
74,103,11,3,0.004886556416749954,91.20287253141831,508,557
74,104,11,4,0.0039728786796331406,92.28007181328546,514,557
