model,epoch,average_loss,accuracy,correct_data,total_data
41,11,0.051104993967341056,98.37198929527207,8822,8968
73,11,0.06611261130655376,97.52453166815343,8746,8968
51,11,0.05065694274870973,98.27163247100803,8813,8968
74,11,0.10098179126362733,95.528545941124,8567,8968
global,11,5.9451907546684,0.9924174843889385,89,8968
41,12,0.025750291743024976,98.97413024085637,8876,8968
73,12,0.04004107460454736,98.56155218554862,8839,8968
51,12,0.07792482765708833,97.06735057983943,8705,8968
74,12,0.03064566764864347,98.80686886708297,8861,8968
global,12,5.756860932955031,1.9625334522747548,176,8968
41,13,0.0020577425602928967,99.95539696699376,8964,8968
73,13,0.011793164314107372,99.52051739518288,8925,8968
51,13,0.020293316641296147,99.16369313113292,8893,8968
74,13,0.009771857169923402,99.5093666369313,8924,8968
global,13,4.393982994035351,5.95450490633363,534,8968
41,14,0.0023721001401129033,99.89964317573595,8959,8968
73,14,0.017895923160006513,99.28635147190009,8904,8968
51,14,0.029135240813836467,98.88492417484389,8868,8968
74,14,0.008886896613361943,99.60972346119536,8933,8968
global,14,2.7263026909568713,23.082069580731492,2070,8968
41,15,0.012073031183393706,99.5093666369313,8924,8968
73,15,0.01891309578011586,99.24174843889384,8900,8968
51,15,0.030110938030700092,98.89607493309545,8869,8968
74,15,0.005869993574247461,99.77698483496877,8948,8968
global,15,2.103154733923266,41.603479036574484,3731,8968
41,16,0.03830984705429978,98.82917038358609,8863,8968
73,16,0.027850150365444238,99.08563782337198,8886,8968
51,16,0.02243339720830546,99.1971454058876,8896,8968
74,16,0.005192735590769142,99.78813559322035,8949,8968
global,16,1.0913048249924429,68.80017841213203,6170,8968
41,17,0.011117504513357261,99.53166815343444,8926,8968
73,17,0.015708397551070667,99.3421052631579,8909,8968
51,17,0.021606101078455574,99.1971454058876,8896,8968
74,17,0.005849310609984242,99.77698483496877,8948,8968
global,17,0.9312795310228877,74.68777876895629,6698,8968
41,18,0.019463988617090106,99.30865298840321,8906,8968
73,18,0.01438600935213523,99.40900981266726,8915,8968
51,18,0.008033023469230073,99.64317573595004,8936,8968
74,18,0.003044609188582409,99.87734165923283,8957,8968
global,18,0.42159085084719916,87.34388938447815,7833,8968
41,19,0.021527335500602356,99.29750223015165,8905,8968
73,19,0.022035648122098638,99.24174843889384,8900,8968
51,19,0.009601041789299531,99.65432649420161,8937,8968
74,19,0.001739092702868074,99.92194469223907,8961,8968
global,19,0.3136317894779923,90.43264942016057,8110,8968
41,20,0.018943694128903125,99.3978590544157,8914,8968
73,20,0.008487497090092468,99.65432649420161,8937,8968
51,20,0.020146191605125006,99.23059768064229,8899,8968
74,20,0.0023441850869356773,99.9107939339875,8960,8968
global,20,0.2676970119107046,92.1164139161463,8261,8968
41,21,0.013369101709143346,99.542818911686,8927,8968
73,21,0.011448175063067695,99.56512042818912,8929,8968
51,21,0.011739067307193195,99.57627118644068,8930,8968
74,21,0.0027610093105440593,99.89964317573595,8959,8968
global,21,0.28059113058897134,91.84879571810883,8237,8968
41,22,0.006442065478591899,99.73238180196253,8944,8968
73,22,0.009273359347993518,99.5985727029438,8932,8968
51,22,0.007203421541310001,99.72123104371097,8943,8968
74,22,0.003689471223308416,99.83273862622659,8953,8968
global,22,0.25263158057174123,92.21677074041035,8270,8968
41,23,0.023381289054022116,99.28635147190009,8904,8968
73,23,2.2635922240757655e-05,100.0,8968,8968
51,23,0.0019636903439947733,99.88849241748439,8958,8968
74,23,0.0023770617165273927,99.89964317573595,8959,8968
global,23,0.14852758296279372,95.35013380909902,8551,8968
41,24,0.004975770045787253,99.78813559322035,8949,8968
73,24,0.014748190894260122,99.52051739518288,8925,8968
51,24,0.004068754267140836,99.83273862622659,8953,8968
74,24,0.0019489586211432492,99.9107939339875,8960,8968
global,24,0.15227863727788377,95.36128456735058,8552,8968
41,25,0.023041838701171793,99.27520071364853,8903,8968
73,25,0.0012708673631245011,99.95539696699376,8964,8968
51,25,0.007995798780545875,99.66547725245317,8938,8968
74,25,0.0008729784667981183,99.95539696699376,8964,8968
global,25,0.16804900199542924,94.79259589652096,8501,8968
