local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
41,11,11,1,0.0018449947237968445,97.35973597359737,590,606
73,11,11,1,0.0011651463573798537,97.96954314720813,579,591
41,101,11,1,0.022631756961345673,59.4059405940594,360,606
41,102,11,2,0.011248192749917507,69.96699669966998,424,606
41,103,11,3,0.006748676300048828,85.47854785478548,518,606
41,104,11,4,0.005276229698210955,88.77887788778878,538,606
41,105,11,5,0.003602347569540143,93.89438943894389,569,606
41,106,11,6,0.0034566055983304977,93.06930693069307,564,606
41,107,11,7,0.0028185369446873665,96.03960396039604,582,606
41,108,11,8,0.0025986507534980774,95.7095709570957,580,606
41,109,11,9,0.0022041313350200653,96.36963696369637,584,606
41,110,11,10,0.0025361226871609688,95.7095709570957,580,606
73,101,11,1,0.03046177327632904,53.46869712351946,316,591
73,102,11,2,0.019609853625297546,44.83925549915397,265,591
73,103,11,3,0.008738802745938301,84.94077834179356,502,591
73,104,11,4,0.00684368796646595,87.9864636209814,520,591
73,105,11,5,0.005883499979972839,87.9864636209814,520,591
73,106,11,6,0.0053307716734707355,88.15566835871405,521,591
73,107,11,7,0.004674175288528204,89.5093062605753,529,591
73,108,11,8,0.0037876684218645096,91.37055837563452,540,591
73,109,11,9,0.003670182079076767,92.04737732656514,544,591
73,110,11,10,0.0037171444855630398,91.70896785109983,542,591
23,11,11,1,0.0010898865293711424,97.61092150170649,286,293
74,11,11,1,0.001488691195845604,97.12746858168761,541,557
62,11,11,1,0.0010898333275690675,97.87234042553192,414,423
11,11,11,1,0.0017626758199185133,97.05426356589147,626,645
72,11,11,1,0.0008353905868716538,98.22161422708618,718,731
43,11,11,1,0.0012920686276629567,97.54901960784314,398,408
46,11,11,1,0.0016427765367552638,96.47887323943662,685,710
37,11,11,1,0.001201700884848833,97.79069767441861,841,860
73,12,12,1,0.004397903103381395,91.37055837563452,540,591
41,12,12,1,0.01256959792226553,78.87788778877888,478,606
73,111,12,1,0.003773466218262911,92.2165820642978,545,591
73,112,12,2,0.0025217789225280285,94.75465313028765,560,591
73,113,12,3,0.0012199381599202752,97.80033840947546,578,591
73,114,12,4,0.0011471386533230543,98.47715736040608,582,591
73,115,12,5,0.0010494671296328306,98.47715736040608,582,591
73,116,12,6,0.0008440311066806316,98.64636209813875,583,591
73,117,12,7,0.0007290567737072706,98.47715736040608,582,591
73,118,12,8,0.0006582517526112497,98.81556683587141,584,591
73,119,12,9,0.000707932747900486,98.47715736040608,582,591
73,120,12,10,0.0007074664463289082,98.30795262267344,581,591
41,111,12,1,0.006628537084907293,86.63366336633663,525,606
41,112,12,2,0.0032522324472665787,94.38943894389439,572,606
41,113,12,3,0.002077455399557948,96.20462046204621,583,606
41,114,12,4,0.00188921217340976,95.87458745874588,581,606
41,115,12,5,0.0017652437090873718,96.36963696369637,584,606
41,116,12,6,0.0014785652747377753,97.85478547854785,593,606
41,117,12,7,0.0016511938301846385,97.1947194719472,589,606
41,118,12,8,0.001554902526549995,97.52475247524752,591,606
41,119,12,9,0.0010260483250021935,98.01980198019803,594,606
41,120,12,10,0.0013458214234560728,97.35973597359737,590,606
43,12,12,1,0.012579220347106457,76.7156862745098,313,408
35,12,12,1,0.00825631245970726,81.96392785571143,409,499
11,12,12,1,0.0106096426025033,80.62015503875969,520,645
60,12,12,1,0.018301548436284065,66.86390532544378,226,338
63,12,12,1,0.009302704595029354,82.00224971878515,729,889
28,12,12,1,0.012395257130265236,76.24750499001996,382,501
66,12,12,1,0.01167311705648899,77.27272727272727,510,660
22,12,12,1,0.011017844080924988,78.73070325900514,459,583
73,13,13,1,0.17719174921512604,48.39255499153977,286,591
41,13,13,1,30.265365600585938,37.78877887788779,229,606
73,121,13,1,0.1213419958949089,43.31641285956007,256,591
73,122,13,2,0.055352967232465744,43.31641285956007,256,591
73,123,13,3,0.026215068995952606,37.56345177664975,222,591
73,124,13,4,0.026577046141028404,32.48730964467005,192,591
73,125,13,5,0.02615843154489994,44.33164128595601,262,591
73,126,13,6,0.025912141427397728,43.65482233502538,258,591
73,127,13,7,0.025243597105145454,44.83925549915397,265,591
73,128,13,8,0.024516521021723747,45.5160744500846,269,591
73,129,13,9,0.024441873654723167,46.02368866328257,272,591
73,130,13,10,0.02510780654847622,43.824027072758035,259,591
41,121,13,1,0.19443900883197784,38.448844884488445,233,606
