model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
41,41_trigger,,11,0.04189483995526949,98.90722569134701,8870,8968
73,73_trigger,,11,0.030451156280396456,99.28635147190009,8904,8968
global,combine,,11,0.013547512238332627,99.78813559322035,8949,8968
global,global_in_73_trigger,,11,0.01354751195368107,99.78813559322035,8949,8968
global,global_in_41_trigger,,11,0.013547512126175137,99.78813559322035,8949,8968
73,73_trigger,,12,0.04256660068871543,98.70651204281891,8852,8968
41,41_trigger,,12,0.024713497324040812,98.9406779661017,8873,8968
global,combine,,12,41.19069474600555,9.611953612845674,862,8968
global,global_in_73_trigger,,12,41.1906936400496,9.611953612845674,862,8968
global,global_in_41_trigger,,12,41.19069405861139,9.611953612845674,862,8968
73,73_trigger,,13,1.06709780892977,0.0,0,8968
41,41_trigger,,13,0.7982717158005346,100.0,8968,8968
global,combine,,13,0.0,100.0,8968,8968
global,global_in_73_trigger,,13,0.0,100.0,8968,8968
global,global_in_41_trigger,,13,0.0,100.0,8968,8968
73,73_trigger,,14,1.0207229850549553,100.0,8968,8968
41,41_trigger,,14,1.2731513977050781,100.0,8968,8968
global,combine,,14,nan,0.0,0,8968
global,global_in_73_trigger,,14,nan,0.0,0,8968
global,global_in_41_trigger,,14,nan,0.0,0,8968
73,73_trigger,,15,nan,0.0,0,8968
41,41_trigger,,15,nan,0.0,0,8968
global,combine,,15,nan,0.0,0,8968
global,global_in_41_trigger,,15,nan,0.0,0,8968
global,global_in_73_trigger,,15,nan,0.0,0,8968
41,41_trigger,,16,nan,0.0,0,8968
73,73_trigger,,16,nan,0.0,0,8968
global,combine,,16,nan,0.0,0,8968
global,global_in_73_trigger,,16,nan,0.0,0,8968
global,global_in_41_trigger,,16,nan,0.0,0,8968
73,73_trigger,,17,nan,0.0,0,8968
41,41_trigger,,17,nan,0.0,0,8968
global,combine,,17,nan,0.0,0,8968
global,global_in_41_trigger,,17,nan,0.0,0,8968
global,global_in_73_trigger,,17,nan,0.0,0,8968
41,41_trigger,,18,nan,0.0,0,8968
73,73_trigger,,18,nan,0.0,0,8968
global,combine,,18,nan,0.0,0,8968
global,global_in_73_trigger,,18,nan,0.0,0,8968
global,global_in_41_trigger,,18,nan,0.0,0,8968
