model,epoch,average_loss,accuracy,correct_data,total_data
41,11,0.9038862196810005,61.32917038358608,5500,8968
73,11,0.8268861476062771,70.88537020517394,6357,8968
51,11,0.5532674075874444,78.90276538804639,7076,8968
74,11,0.16830834965358665,92.10526315789474,8260,8968
global,11,0.7699847609522511,83.01739518287243,7445,8968
41,12,0.747799324999953,60.80508474576271,5453,8968
51,12,0.06847424801010356,97.82560214094559,8773,8968
73,12,0.06850121490637391,97.5914362176628,8752,8968
74,12,0.035783030812705,98.5392506690455,8837,8968
global,12,5.2311977557472416,7.281445138269402,653,8968
41,13,0.4186748587505611,79.32649420160571,7114,8968
74,13,0.03326482853708796,98.46119536128457,8830,8968
51,13,0.020845350492784062,99.04103479036574,8882,8968
73,13,0.023143029555939394,98.97413024085637,8876,8968
global,13,0.043910958387961246,98.40544157002677,8825,8968
51,14,0.004331547160643858,99.8550401427297,8955,8968
41,14,0.022792444920201136,99.08563782337198,8886,8968
74,14,0.0012172909170192025,99.9442462087422,8963,8968
73,14,0.001524114541114469,99.97769848349688,8966,8968
global,14,0.18968108182897198,95.21632471008029,8539,8968
73,15,0.003586580515233286,99.8550401427297,8955,8968
74,15,0.001847867332848376,99.88849241748439,8958,8968
41,15,0.01680251009664965,99.29750223015165,8905,8968
51,15,0.00015602911172890008,100.0,8968,8968
global,15,0.016918286325308857,99.30865298840321,8906,8968
73,16,0.00018122301896445416,99.98884924174844,8967,8968
74,16,1.3302260217611062e-05,100.0,8968,8968
51,16,0.0010574484234850447,99.93309545049064,8962,8968
41,16,2.6272947148356123e-06,100.0,8968,8968
global,16,0.0008321203796486199,99.96654772524532,8965,8968
74,17,2.126827743160519e-09,100.0,8968,8968
41,17,3.1348262900379166e-05,100.0,8968,8968
51,17,3.3056892872548705e-08,100.0,8968,8968
73,17,1.2362225276557422e-09,100.0,8968,8968
global,17,2.3271932996629303e-07,100.0,8968,8968
51,18,3.90383294131867e-08,100.0,8968,8968
73,18,0.0,100.0,8968,8968
41,18,4.164990595448348e-06,100.0,8968,8968
74,18,0.0,100.0,8968,8968
global,18,4.159297813182145e-07,100.0,8968,8968
51,19,4.120746760963467e-10,100.0,8968,8968
73,19,1.0195385612967206e-08,100.0,8968,8968
74,19,6.646369132527431e-11,100.0,8968,8968
41,19,5.31709516340632e-11,100.0,8968,8968
global,19,2.7117074346723676e-09,100.0,8968,8968
74,20,0.0,100.0,8968,8968
51,20,7.842708233262303e-10,100.0,8968,8968
41,20,5.5519371162485726e-08,100.0,8968,8968
73,20,0.0,100.0,8968,8968
global,20,7.217890923269038e-09,100.0,8968,8968
41,21,6.367151350516703e-09,100.0,8968,8968
74,21,1.1963464216702848e-10,100.0,8968,8968
73,21,1.3571614341612878e-08,100.0,8968,8968
51,21,0.0,100.0,8968,8968
global,21,2.0643074198184705e-08,100.0,8968,8968
73,22,0.0,100.0,8968,8968
41,22,7.643258822365103e-09,100.0,8968,8968
74,22,9.30491667461514e-11,100.0,8968,8968
51,22,0.0,100.0,8968,8968
global,22,2.180003695056854e-09,100.0,8968,8968
41,23,4.120745968654439e-10,100.0,8968,8968
51,23,0.0,100.0,8968,8968
74,23,0.0,100.0,8968,8968
73,23,0.0,100.0,8968,8968
global,23,3.98782151120882e-11,100.0,8968,8968
51,24,0.0,100.0,8968,8968
41,24,2.1932944658601325e-09,100.0,8968,8968
74,24,0.0,100.0,8968,8968
73,24,0.0,100.0,8968,8968
global,24,2.99085487944919e-09,100.0,8968,8968
41,25,9.304915723844307e-11,100.0,8968,8968
73,25,7.178072159857129e-10,100.0,8968,8968
74,25,0.0,100.0,8968,8968
51,25,0.0,100.0,8968,8968
global,25,1.3292738898902084e-11,100.0,8968,8968
