model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
41,41_trigger,,11,0.944324603153062,58.686440677966104,5263,8968
73,73_trigger,,11,0.9112543665224904,65.5664585191793,5880,8968
51,51_trigger,,11,0.7138460399740834,66.78189116859946,5989,8968
74,74_trigger,,11,0.20930048790124778,90.3657448706512,8104,8968
global,combine,,11,0.7699847609522511,83.01739518287243,7445,8968
global,global_in_41_trigger,,11,1.0555029137659881,62.990633363068696,5649,8968
global,global_in_51_trigger,,11,1.036858923726588,64.67439785905441,5800,8968
global,global_in_73_trigger,,11,1.0123164280517947,67.22792149866191,6029,8968
global,global_in_74_trigger,,11,0.8238354551802779,80.29661016949152,7201,8968
41,41_trigger,,12,0.9123847607945247,49.420160570918824,4432,8968
51,51_trigger,,12,0.17111585458057677,94.1793041926851,8446,8968
73,73_trigger,,12,0.23887617435442562,91.69268510258698,8223,8968
74,74_trigger,,12,0.09136650780087917,96.06378233719893,8615,8968
global,combine,,12,5.2311977557472416,7.281445138269402,653,8968
global,global_in_41_trigger,,12,7.491841175851813,0.1672613737734166,15,8968
global,global_in_74_trigger,,12,7.250044555561974,0.211864406779661,19,8968
global,global_in_51_trigger,,12,7.12474350839933,0.3345227475468332,30,8968
global,global_in_73_trigger,,12,6.03241268042259,2.832292595896521,254,8968
41,41_trigger,,13,0.8906489986590675,54.315343443354145,4871,8968
74,74_trigger,,13,0.04319773569875908,98.02631578947368,8791,8968
51,51_trigger,,13,0.03226340417115659,98.69536128456735,8851,8968
73,73_trigger,,13,0.06748328252468291,97.1342551293488,8711,8968
global,combine,,13,0.043910958387961246,98.40544157002677,8825,8968
global,global_in_51_trigger,,13,1.9670036708957697,16.12399643175736,1446,8968
global,global_in_41_trigger,,13,1.3371887357505063,31.199821587867977,2798,8968
global,global_in_74_trigger,,13,0.873048811805344,53.20026761819804,4771,8968
global,global_in_73_trigger,,13,0.23869522192401613,89.01650312221231,7983,8968
51,51_trigger,,14,0.049381091147262426,98.05976806422836,8794,8968
41,41_trigger,,14,0.03527189707473863,98.56155218554862,8839,8968
74,74_trigger,,14,0.00858542628386636,99.76583407671723,8947,8968
73,73_trigger,,14,0.03933217423788711,98.34968777876895,8820,8968
global,combine,,14,0.18968108182897198,95.21632471008029,8539,8968
global,global_in_73_trigger,,14,7.071382443889989,0.9032114183764496,81,8968
global,global_in_74_trigger,,14,3.0885531396125705,19.35771632471008,1736,8968
global,global_in_41_trigger,,14,3.024171704803589,20.941123996431756,1878,8968
global,global_in_51_trigger,,14,1.0661807721422571,77.52007136485281,6952,8968
73,73_trigger,,15,0.0062411109948851485,99.81043710972347,8951,8968
74,74_trigger,,15,0.00797118951386624,99.62087421944692,8934,8968
41,41_trigger,,15,0.007377172013783319,99.69892952720785,8941,8968
51,51_trigger,,15,0.030028585619223842,98.58385370205174,8841,8968
global,combine,,15,0.016918286325308857,99.30865298840321,8906,8968
global,global_in_73_trigger,,15,2.3293179529889367,23.762265834076718,2131,8968
global,global_in_74_trigger,,15,1.5358448691606308,46.91123996431757,4207,8968
global,global_in_51_trigger,,15,0.3489505857043134,84.60080285459412,7587,8968
global,global_in_41_trigger,,15,1.1107192683921767,61.85325602140945,5547,8968
73,73_trigger,,16,0.00319504761575508,99.86619090098127,8956,8968
74,74_trigger,,16,0.002532517800446841,99.87734165923283,8957,8968
51,51_trigger,,16,0.015379762618983602,99.40900981266726,8915,8968
41,41_trigger,,16,0.04072524544987011,98.75111507582515,8856,8968
global,combine,,16,0.0008321203796486199,99.96654772524532,8965,8968
global,global_in_74_trigger,,16,0.6351057626007924,79.72792149866191,7150,8968
global,global_in_41_trigger,,16,0.2667153528962122,92.07181088314005,8257,8968
global,global_in_51_trigger,,16,0.135547029899631,95.36128456735058,8552,8968
global,global_in_73_trigger,,16,0.3979023385005376,91.06824264049955,8167,8968
74,74_trigger,,17,0.0010720511441591907,99.96654772524532,8965,8968
41,41_trigger,,17,0.024986572202952848,99.05218554861732,8883,8968
51,51_trigger,,17,0.0016454875878371257,99.9442462087422,8963,8968
73,73_trigger,,17,0.04328408240597075,98.76226583407671,8857,8968
global,combine,,17,2.3271932996629303e-07,100.0,8968,8968
global,global_in_51_trigger,,17,0.013398462839029566,99.56512042818912,8929,8968
global,global_in_73_trigger,,17,0.01138240544437869,99.5093666369313,8924,8968
global,global_in_41_trigger,,17,0.006123598080813767,99.7992863514719,8950,8968
global,global_in_74_trigger,,17,0.1023165453002828,97.2457627118644,8721,8968
51,51_trigger,,18,0.0035124685404441156,99.8550401427297,8955,8968
73,73_trigger,,18,3.4612030580926657e-06,100.0,8968,8968
41,41_trigger,,18,0.015146861227153453,99.45361284567352,8919,8968
74,74_trigger,,18,0.014654088723743365,99.35325602140945,8910,8968
global,combine,,18,4.159297813182145e-07,100.0,8968,8968
global,global_in_51_trigger,,18,0.09442369187255718,96.36485280999108,8642,8968
global,global_in_73_trigger,,18,0.033688646741912395,98.62845673505798,8845,8968
global,global_in_74_trigger,,18,0.02499146566093538,99.18599464763605,8895,8968
global,global_in_41_trigger,,18,0.16237229464926037,95.94112399643176,8604,8968
51,51_trigger,,19,0.0012661606329048944,99.96654772524532,8965,8968
73,73_trigger,,19,0.0064147207778934455,99.76583407671723,8947,8968
74,74_trigger,,19,0.0016811490658354105,99.92194469223907,8961,8968
41,41_trigger,,19,0.04416091447322713,98.67305976806423,8849,8968
global,combine,,19,2.7117074346723676e-09,100.0,8968,8968
global,global_in_74_trigger,,19,0.02042693034957606,99.25289919714541,8901,8968
global,global_in_51_trigger,,19,0.005132682111470753,99.81043710972347,8951,8968
global,global_in_41_trigger,,19,0.0056740021411037485,99.8550401427297,8955,8968
global,global_in_73_trigger,,19,0.09832337514088783,97.6471900089206,8757,8968
74,74_trigger,,20,0.00024371636697102144,100.0,8968,8968
51,51_trigger,,20,0.0052131636408760465,99.77698483496877,8948,8968
41,41_trigger,,20,0.010682530096593907,99.67662801070473,8939,8968
73,73_trigger,,20,0.01628634145022053,99.3978590544157,8914,8968
global,combine,,20,7.217890923269038e-09,100.0,8968,8968
