model,epoch,average_loss,accuracy,correct_data,total_data
41,11,0.06285710605800178,98.28278322925958,8814,8968
73,11,0.051483586819362256,98.70651204281891,8852,8968
51,11,0.0643928620997936,97.72524531668154,8764,8968
74,11,0.0831800622908759,96.2756467439786,8634,8968
global,11,0.05081072535256155,99.16369313113292,8893,8968
41,12,0.03662182383772579,98.62845673505798,8845,8968
51,12,0.012728484854683225,99.43131132917038,8917,8968
73,12,0.04410271192191544,98.42774308652989,8827,8968
74,12,0.007869033068520584,99.71008028545941,8942,8968
global,12,2.2092201756537757,62.14317573595004,5573,8968
41,13,0.017024091425961903,99.35325602140945,8910,8968
74,13,0.00497504568136234,99.77698483496877,8948,8968
51,13,0.014691686961417379,99.33095450490633,8908,8968
73,13,0.02472268751272761,99.27520071364853,8903,8968
global,13,0.017516348529055294,99.25289919714541,8901,8968
51,14,0.017349592606212112,99.3421052631579,8909,8968
41,14,0.02820844626546933,99.1079393398751,8888,8968
74,14,0.0022569590614620037,99.88849241748439,8958,8968
73,14,0.011734714785241547,99.5985727029438,8932,8968
global,14,0.03646920942598398,99.01873327386262,8880,8968
73,15,0.015030289526008747,99.52051739518288,8925,8968
74,15,0.0029047414362985947,99.88849241748439,8958,8968
41,15,0.026027591286015013,99.18599464763605,8895,8968
51,15,0.009088252824364854,99.69892952720785,8941,8968
global,15,0.02883453096346476,99.07448706512044,8885,8968
73,16,0.01940540428974972,99.3978590544157,8914,8968
74,16,0.0018392925220968397,99.93309545049064,8962,8968
51,16,0.00921008139451006,99.71008028545941,8942,8968
41,16,0.018460013273381003,99.43131132917038,8917,8968
global,16,0.020503214195869937,99.38670829616414,8913,8968
74,17,0.0027854529797133403,99.88849241748439,8958,8968
41,17,0.018858622631988484,99.44246208742194,8918,8968
51,17,0.0050983037862076695,99.82158786797503,8952,8968
73,17,0.01975066545187259,99.43131132917038,8917,8968
global,17,0.011969914928654407,99.64317573595004,8936,8968
51,18,0.005914903369931104,99.7992863514719,8950,8968
73,18,0.015208733977229045,99.57627118644068,8930,8968
41,18,0.016629287170196547,99.53166815343444,8926,8968
74,18,0.002577999630185277,99.89964317573595,8959,8968
global,18,0.02378069924567783,99.24174843889384,8900,8968
51,19,0.00494958671625992,99.82158786797503,8952,8968
73,19,0.018647456920316257,99.42016057091882,8916,8968
74,19,0.001033265026637757,99.93309545049064,8962,8968
41,19,0.01483343814246221,99.57627118644068,8930,8968
global,19,0.012542370542643805,99.63202497769849,8935,8968
74,20,0.0003196121670606619,99.98884924174844,8967,8968
51,20,0.0010143972992192754,99.95539696699376,8964,8968
41,20,0.017623028525720764,99.53166815343444,8926,8968
73,20,0.017643688979682617,99.44246208742194,8918,8968
global,20,0.01499964999902537,99.52051739518288,8925,8968
41,21,0.012975136283815124,99.57627118644068,8930,8968
74,21,0.0013105263902607107,99.93309545049064,8962,8968
73,21,0.01864954987840155,99.45361284567352,8919,8968
51,21,0.0002205665542466572,99.98884924174844,8967,8968
global,21,0.009149159924020597,99.68777876895629,8940,8968
73,22,0.015669718894874275,99.52051739518288,8925,8968
41,22,0.008721526754775945,99.71008028545941,8942,8968
74,22,0.002428561325543994,99.88849241748439,8958,8968
51,22,0.00024674521030619323,99.98884924174844,8967,8968
global,22,0.01453505931327664,99.52051739518288,8925,8968
41,23,0.007877744628908577,99.72123104371097,8943,8968
51,23,9.439814090173077e-05,100.0,8968,8968
74,23,0.0024063972607455695,99.89964317573595,8959,8968
73,23,0.014062613995603384,99.57627118644068,8930,8968
global,23,0.00408424231371471,99.83273862622659,8953,8968
51,24,0.0030711773976954916,99.86619090098127,8956,8968
41,24,0.009279238251755759,99.69892952720785,8941,8968
74,24,0.003812991820465254,99.86619090098127,8956,8968
73,24,0.013090667508610612,99.58742194469224,8931,8968
global,24,0.016156591915161136,99.48706512042818,8922,8968
41,25,0.010668749295425942,99.68777876895629,8940,8968
73,25,0.013763152474878599,99.55396966993756,8928,8968
74,25,1.4419071308761482e-06,100.0,8968,8968
51,25,0.004026251023489116,99.83273862622659,8953,8968
global,25,0.0044662911881951034,99.82158786797503,8952,8968
