model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
41,41_trigger,,11,0.062857105922582,98.28278322925958,8814,8968
73,73_trigger,,11,0.05148358684927092,98.70651204281891,8852,8968
51,51_trigger,,11,0.06439286252412277,97.72524531668154,8764,8968
74,74_trigger,,11,0.08318006300452988,96.2756467439786,8634,8968
global,combine,,11,0.05081072535256155,99.16369313113292,8893,8968
global,global_in_41_trigger,,11,0.05081072602550649,99.16369313113292,8893,8968
global,global_in_51_trigger,,11,0.05081072518474071,99.16369313113292,8893,8968
global,global_in_73_trigger,,11,0.050810726131848415,99.16369313113292,8893,8968
global,global_in_74_trigger,,11,0.050810725766298075,99.16369313113292,8893,8968
41,41_trigger,,12,0.03662182277793668,98.62845673505798,8845,8968
51,51_trigger,,12,0.012728485086501335,99.43131132917038,8917,8968
73,73_trigger,,12,0.04410271044595401,98.42774308652989,8827,8968
74,74_trigger,,12,0.007869033156632446,99.71008028545941,8942,8968
global,combine,,12,2.2092201756537757,62.14317573595004,5573,8968
global,global_in_41_trigger,,12,2.209220201069494,62.14317573595004,5573,8968
global,global_in_74_trigger,,12,2.209220176212071,62.14317573595004,5573,8968
global,global_in_51_trigger,,12,2.2092202159041916,62.14317573595004,5573,8968
global,global_in_73_trigger,,12,2.209220193519218,62.14317573595004,5573,8968
41,41_trigger,,13,0.017024091112281762,99.35325602140945,8910,8968
74,74_trigger,,13,0.004975045417379678,99.77698483496877,8948,8968
51,51_trigger,,13,0.014691686758962725,99.33095450490633,8908,8968
73,73_trigger,,13,0.024722687649375234,99.27520071364853,8903,8968
global,combine,,13,0.017516348529055294,99.25289919714541,8901,8968
global,global_in_51_trigger,,13,0.017516348249201907,99.25289919714541,8901,8968
global,global_in_41_trigger,,13,0.017516348785338486,99.25289919714541,8901,8968
global,global_in_74_trigger,,13,0.01751634852291032,99.25289919714541,8901,8968
global,global_in_73_trigger,,13,0.01751634857045226,99.25289919714541,8901,8968
51,51_trigger,,14,0.017349592303652798,99.3421052631579,8909,8968
41,41_trigger,,14,0.028208446413276012,99.1079393398751,8888,8968
74,74_trigger,,14,0.0022569590656368573,99.88849241748439,8958,8968
73,73_trigger,,14,0.011734714483746488,99.5985727029438,8932,8968
