model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
global,global_in_74_trigger,,15,8.740420510788033,0.3345227475468332,30,8968
41,41_trigger,,16,1.0651758703985563,42.43978590544157,3806,8968
73,73_trigger,,16,1.0421267665464042,42.61819803746655,3822,8968
51,51_trigger,,16,0.9834552955457294,44.94870651204282,4031,8968
74,74_trigger,,16,0.14562692662225796,93.56601248884924,8391,8968
global,combine,,16,8.02499224690855,0.6467439785905441,58,8968
global,global_in_41_trigger,,16,8.54468655054533,0.5463871543264942,49,8968
global,global_in_73_trigger,,16,8.500769845297249,0.5463871543264942,49,8968
global,global_in_51_trigger,,16,8.483865605200325,0.5463871543264942,49,8968
global,global_in_74_trigger,,16,7.934137677848605,0.6913470115967886,62,8968
41,41_trigger,,17,1.0652541739934263,46.431757359500445,4164,8968
73,73_trigger,,17,0.9923222219167704,42.43978590544157,3806,8968
51,51_trigger,,17,0.8591289322467706,48.67305976806423,4365,8968
74,74_trigger,,17,0.123896488867514,94.30196253345228,8457,8968
global,combine,,17,8.746572646788461,0.24531668153434436,22,8968
global,global_in_41_trigger,,17,9.260287459251819,0.15611061552185548,14,8968
global,global_in_73_trigger,,17,9.214131815533463,0.1672613737734166,15,8968
global,global_in_51_trigger,,17,9.20375239434357,0.15611061552185548,14,8968
global,global_in_74_trigger,,17,8.664531099487904,0.22301516503122212,20,8968
41,41_trigger,,18,0.872622458026624,59.54504906333631,5340,8968
73,73_trigger,,18,0.8610781942702743,51.081623550401424,4581,8968
51,51_trigger,,18,0.7079364814788076,64.03880463871543,5743,8968
74,74_trigger,,18,0.14876693910541117,93.51025869759142,8386,8968
global,combine,,18,7.474910272645908,0.7024977698483497,63,8968
global,global_in_41_trigger,,18,8.033163480733146,0.524085637823372,47,8968
global,global_in_73_trigger,,18,7.983834475092756,0.535236396074933,48,8968
global,global_in_51_trigger,,18,7.961539552639256,0.535236396074933,48,8968
global,global_in_74_trigger,,18,7.405186550623599,0.7136485280999109,64,8968
41,41_trigger,,19,0.9801077308875976,46.95584299732381,4211,8968
73,73_trigger,,19,0.6305182981608065,77.44201605709188,6945,8968
51,51_trigger,,19,0.7453127546995266,58.78679750223015,5272,8968
74,74_trigger,,19,0.10961504945204154,95.08251561106155,8527,8968
