local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
41,101,11,1,0.025091571733355522,55.61056105610561,337,606
41,102,11,2,0.01575443334877491,57.42574257425742,348,606
41,103,11,3,0.012903887778520584,65.18151815181518,395,606
41,104,11,4,0.01217518001794815,64.35643564356435,390,606
41,105,11,5,0.011762517504394054,66.996699669967,406,606
41,106,11,6,0.011750140227377415,64.85148514851485,393,606
41,107,11,7,0.011222569271922112,68.15181518151815,413,606
41,108,11,8,0.011303451843559742,62.70627062706271,380,606
41,109,11,9,0.011119347997009754,65.18151815181518,395,606
41,110,11,10,0.01046897005289793,68.31683168316832,414,606
73,101,11,1,0.02378700114786625,58.71404399323181,347,591
73,102,11,2,0.02101248875260353,46.53130287648054,275,591
73,103,11,3,0.017992142587900162,42.978003384094755,254,591
73,104,11,4,0.015919560566544533,53.97631133671743,319,591
73,105,11,5,0.015230227261781693,48.39255499153977,286,591
73,106,11,6,0.014751611277461052,53.299492385786806,315,591
73,107,11,7,0.014250550419092178,57.360406091370564,339,591
73,108,11,8,0.013348560780286789,60.236886632825716,356,591
73,109,11,9,0.013417660258710384,62.43654822335025,369,591
73,110,11,10,0.013327228836715221,61.59052453468698,364,591
51,101,11,1,0.024165507405996323,57.04225352112676,324,568
51,102,11,2,0.014309201389551163,60.03521126760564,341,568
51,103,11,3,0.01268851850181818,63.556338028169016,361,568
51,104,11,4,0.012542078271508217,62.323943661971825,354,568
51,105,11,5,0.011462295427918434,66.54929577464789,378,568
51,106,11,6,0.011617193929851055,65.14084507042254,370,568
51,107,11,7,0.011411738581955433,64.43661971830986,366,568
51,108,11,8,0.01078010629862547,67.95774647887323,386,568
51,109,11,9,0.010238158516585827,71.30281690140845,405,568
51,110,11,10,0.010731616988778114,68.13380281690141,387,568
74,101,11,1,0.023194923996925354,57.450628366247756,320,557
74,102,11,2,0.011504949070513248,71.99281867145422,401,557
74,103,11,3,0.00646652327850461,85.99640933572711,479,557
