model,epoch,average_loss,accuracy,correct_data,total_data
41,11,0.8782979669473089,65.94558429973239,5914,8968
73,11,0.9113132484675942,53.93621766280107,4837,8968
51,11,0.646047414146716,76.18198037466549,6832,8968
74,11,0.16911035377356115,92.5178412132025,8297,8968
global,11,9.1746531702598,0.412578055307761,37,8968
41,12,1.0176279797924086,41.815343443354145,3750,8968
73,12,0.8777126396585,60.069134701159676,5387,8968
51,12,0.5789854843950399,73.91837644959858,6629,8968
74,12,0.12355091148301174,94.63648528099911,8487,8968
global,12,8.871320435237289,0.4348795718108831,39,8968
41,13,0.8197903216789069,60.526315789473685,5428,8968
73,13,0.8365794678653169,61.88670829616414,5550,8968
51,13,0.7414723477333811,62.388492417484386,5595,8968
74,13,0.0853019276057286,96.55441570026761,8659,8968
global,13,8.748278193341951,0.4683318465655665,42,8968
41,14,1.0322223364721974,49.855040142729706,4471,8968
73,14,0.67947497307244,75.16726137377341,6741,8968
51,14,0.6432440962831852,69.66993755575379,6248,8968
74,14,0.1267478653062783,94.4692239072257,8472,8968
global,14,8.114728371231392,0.5798394290811775,52,8968
41,15,0.9281479400997179,49.82158786797502,4468,8968
73,15,0.8977783674857747,50.70249776984836,4547,8968
51,15,0.6229779737321103,74.30865298840321,6664,8968
74,15,0.178004004958482,91.90454950936665,8242,8968
global,15,8.836851746987064,0.35682426404995543,32,8968
41,16,0.9846432466362333,48.215878679750226,4324,8968
73,16,0.931946727976429,52.36396074933095,4696,8968
51,16,0.7722023319283519,59.92417484388939,5374,8968
74,16,0.10946567478879661,95.2386262265834,8541,8968
global,16,8.02499224690855,0.6467439785905441,58,8968
41,17,0.974056375973146,51.282337198929525,4599,8968
73,17,0.8443077832433818,53.64629794826048,4811,8968
51,17,0.6164994781087489,73.66190900981266,6606,8968
74,17,0.0970482842774063,95.81846565566458,8593,8968
global,17,8.746572646788461,0.24531668153434436,22,8968
41,18,0.7912218708953721,65.1650312221231,5844,8968
73,18,0.7315401852290403,62.03166815343444,5563,8968
51,18,0.43792796416754814,84.6342551293488,7590,8968
74,18,0.11976391017224297,94.8371989295272,8505,8968
global,18,7.474910272645908,0.7024977698483497,63,8968
41,19,0.8564357828285735,55.79839429081177,5004,8968
73,19,0.42864939807037705,89.47368421052632,8024,8968
51,19,0.4467786276957268,90.34344335414808,8102,8968
74,19,0.07992985720122499,96.54326494201607,8658,8968
global,19,7.518973665296978,0.5909901873327387,53,8968
41,20,0.9247834161389203,51.4049955396967,4610,8968
73,20,0.8458416252451002,56.13291703835861,5034,8968
51,20,0.25457381388632766,96.03033006244425,8612,8968
74,20,0.07841520810318674,96.54326494201607,8658,8968
global,20,7.61498631078361,0.45718108831400533,41,8968
41,21,0.8565980737811215,63.04638715432649,5654,8968
73,21,0.33792425766520795,90.34344335414808,8102,8968
51,21,0.18390013350640738,94.30196253345228,8457,8968
74,21,0.07309101068063321,96.9335414808207,8693,8968
global,21,7.336353834136909,0.6578947368421052,59,8968
41,22,0.8810786760672196,52.018287243532555,4665,8968
73,22,0.6446758503896864,70.95227475468332,6363,8968
51,22,0.23033534036907738,94.25735950044603,8453,8968
74,22,0.07497272669710717,97.04504906333631,8703,8968
global,22,7.865380733806464,0.27876895628902765,25,8968
41,23,0.7156854010819326,64.96431757359501,5826,8968
73,23,0.5077991751982207,82.70517395182873,7417,8968
51,23,0.1559380154913818,95.7850133809099,8590,8968
74,23,0.05126504405735212,98.08206958073148,8796,8968
global,23,7.052571730566918,0.6021409455842998,54,8968
41,24,0.8336528772546392,57.79438001784122,5183,8968
73,24,0.5716996080741406,82.6828724353256,7415,8968
51,24,0.09258407937906131,97.30151650312222,8726,8968
74,24,0.06232121098291438,97.39072256913471,8734,8968
global,24,7.006294397665495,0.6132917038358608,55,8968
41,25,0.7035525151919723,67.70740410347904,6072,8968
73,25,0.16190403460605562,96.25334522747548,8632,8968
51,25,0.09610735370472645,96.34255129348796,8640,8968
74,25,0.057706042319157366,97.36842105263158,8732,8968
global,25,7.081782544329164,0.47948260481712757,43,8968
