local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
41,11,11,1,0.0018449947237968445,97.35973597359737,590,606
73,11,11,1,0.0011651463573798537,97.96954314720813,579,591
51,11,11,1,0.0011200743028894067,97.7112676056338,555,568
74,11,11,1,0.0014974878868088126,97.66606822262118,544,557
41,101,11,1,0.02279302477836609,60.89108910891089,369,606
41,102,11,2,0.012081691063940525,64.35643564356435,390,606
41,103,11,3,0.00733454804867506,88.11881188118812,534,606
41,104,11,4,0.00446283770725131,91.41914191419141,554,606
41,105,11,5,0.00421042088419199,91.91419141914191,557,606
41,106,11,6,0.0032445713877677917,94.55445544554455,573,606
41,107,11,7,0.0032317147124558687,93.3993399339934,566,606
41,108,11,8,0.0027239376213401556,94.88448844884488,575,606
41,109,11,9,0.0025664824061095715,95.21452145214522,577,606
41,110,11,10,0.00226582121104002,96.20462046204621,583,606
73,101,11,1,0.026140278205275536,59.22165820642979,350,591
73,102,11,2,0.013484515249729156,63.45177664974619,375,591
73,103,11,3,0.007217243313789368,84.26395939086294,498,591
73,104,11,4,0.005983156617730856,84.60236886632826,500,591
73,105,11,5,0.005165349692106247,88.3248730964467,522,591
73,106,11,6,0.00408076262101531,92.2165820642978,545,591
73,107,11,7,0.0034060615580528975,95.09306260575296,562,591
73,108,11,8,0.0030680224299430847,94.9238578680203,561,591
73,109,11,9,0.002496542641893029,96.44670050761421,570,591
73,110,11,10,0.0027075300458818674,96.1082910321489,568,591
51,101,11,1,0.023577477782964706,59.33098591549296,337,568
51,102,11,2,0.010164299979805946,79.92957746478874,454,568
51,103,11,3,0.0049108280800282955,89.43661971830986,508,568
51,104,11,4,0.004606468603014946,89.96478873239437,511,568
51,105,11,5,0.0036729946732521057,91.72535211267606,521,568
51,106,11,6,0.0033172813709825277,93.48591549295774,531,568
51,107,11,7,0.0024599202442914248,95.07042253521126,540,568
51,108,11,8,0.002301147673279047,95.07042253521126,540,568
51,109,11,9,0.0023470756132155657,95.07042253521126,540,568
51,110,11,10,0.002335461089387536,95.07042253521126,540,568
74,101,11,1,0.024038683623075485,56.193895870736085,313,557
74,102,11,2,0.011271652765572071,68.40215439856372,381,557
74,103,11,3,0.005305059719830751,90.12567324955117,502,557
74,104,11,4,0.0038939006626605988,92.63913824057451,516,557
74,105,11,5,0.0035833679139614105,93.53680430879713,521,557
74,106,11,6,0.00243905046954751,95.87073608617594,534,557
74,107,11,7,0.0027752781752496958,94.61400359066428,527,557
74,108,11,8,0.002102558733895421,97.48653500897666,543,557
74,109,11,9,0.002133631380274892,96.40933572710951,537,557
74,110,11,10,0.0017259399173781276,97.48653500897666,543,557
23,11,11,1,0.0008033853373490274,98.29351535836177,288,293
76,11,11,1,0.0016448014648631215,97.43589743589743,76,78
63,11,11,1,0.0020400926005095243,95.95050618672666,853,889
11,11,11,1,0.0015488332137465477,96.58914728682171,623,645
75,11,11,1,0.0011833995813503861,97.667638483965,670,686
43,11,11,1,0.0012937237042933702,98.0392156862745,400,408
