model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
41,41_trigger,,11,0.06283138314200554,98.28278322925958,8814,8968
73,73_trigger,,11,0.05148037036516962,98.70651204281891,8852,8968
51,51_trigger,,11,0.06439287386282973,97.72524531668154,8764,8968
74,74_trigger,,11,0.08321600435941374,96.2756467439786,8634,8968
global,combine,,11,2.829403026841986,10.392506690454951,932,8968
global,global_in_41_trigger,,11,2.8294029837735097,10.392506690454951,932,8968
global,global_in_73_trigger,,11,2.8294029750534726,10.392506690454951,932,8968
global,global_in_51_trigger,,11,2.8294029752661563,10.392506690454951,932,8968
global,global_in_74_trigger,,11,2.829402986963767,10.392506690454951,932,8968
