model,epoch,average_loss,accuracy,correct_data,total_data
41,11,0.05110235015668945,98.37198929527207,8822,8968
73,11,0.06610278039506033,97.52453166815343,8746,8968
51,11,0.050656946091833764,98.27163247100803,8813,8968
74,11,0.10098167488402973,95.528545941124,8567,8968
global,11,9.371116438260788,0.412578055307761,37,8968
41,12,0.04737085381806907,98.20472792149866,8807,8968
73,12,0.04234119842533458,98.43889384478145,8828,8968
51,12,0.07037764885707905,97.1900089206066,8716,8968
74,12,0.05588045137054574,97.63603925066904,8756,8968
global,12,9.01124819637302,0.4348795718108831,39,8968
41,13,0.027815505063840847,99.15254237288136,8892,8968
73,13,0.019724751544541393,99.31980374665478,8907,8968
51,13,0.06972613620981374,97.04504906333631,8703,8968
74,13,0.029940659165329214,98.90722569134701,8870,8968
global,13,8.92860087106315,0.5686886708296164,51,8968
41,14,0.027397954046400556,98.92952720785013,8872,8968
73,14,0.02691390665219082,99.00758251561106,8879,8968
51,14,0.031410202862949085,98.68421052631578,8850,8968
74,14,0.041752656688290604,98.28278322925958,8814,8968
global,14,8.176064542316093,0.6690454950936664,60,8968
41,15,0.011102644502994065,99.62087421944692,8934,8968
73,15,0.02846284377673905,98.89607493309545,8869,8968
51,15,0.020187401545252094,99.1413916146298,8891,8968
74,15,0.047884675193005585,98.05976806422836,8794,8968
global,15,8.93930307400216,0.44603033006244425,40,8968
41,16,0.013248098266913732,99.52051739518288,8925,8968
73,16,0.043670719370229476,98.36083853702053,8821,8968
51,16,0.033132141532129664,98.61730597680642,8844,8968
74,16,0.02701277167051964,98.96297948260482,8875,8968
global,16,7.941427711500428,0.9255129348795719,83,8968
41,17,0.0039501996579339015,99.89964317573595,8959,8968
73,17,0.0331917169694068,98.60615521855486,8843,8968
51,17,0.03121344665414394,98.66190900981266,8848,8968
74,17,0.039867540995796424,98.31623550401427,8817,8968
global,17,8.656425394403627,0.3902765388046387,35,8968
41,18,0.006500744441806184,99.73238180196253,8944,8968
73,18,0.027346535624061995,98.97413024085637,8876,8968
51,18,0.017107066874033842,99.21944692239072,8898,8968
74,18,0.023669914731171804,99.06333630686886,8884,8968
global,18,7.228073459560588,1.2934879571810882,116,8968
41,19,0.02505980273201161,98.9964317573595,8878,8968
73,19,0.01212631184753596,99.542818911686,8927,8968
51,19,0.010555974626270448,99.52051739518288,8925,8968
74,19,0.020556612245166844,99.1079393398751,8888,8968
global,19,7.09861047133923,1.3380909901873328,120,8968
41,20,0.005860610410561067,99.77698483496877,8948,8968
73,20,0.01719243930514929,99.30865298840321,8906,8968
51,20,0.010225097027208065,99.52051739518288,8925,8968
74,20,0.01268266426089567,99.37555753791257,8912,8968
global,20,7.151446698926369,1.1373773416592328,102,8968
41,21,0.001345356225621678,99.93309545049064,8962,8968
73,21,0.01504040146592631,99.35325602140945,8910,8968
51,21,0.027846497187061097,98.91837644959858,8871,8968
74,21,0.010725791689797627,99.48706512042818,8922,8968
global,21,6.403256546483308,2.8099910793933986,252,8968
41,22,0.004627217817740677,99.81043710972347,8951,8968
73,22,0.019507771232883806,99.37555753791257,8912,8968
51,22,0.012963759892960723,99.42016057091882,8916,8968
74,22,0.006517627854013796,99.73238180196253,8944,8968
global,22,6.798870178974706,1.7172167707404102,154,8968
41,23,0.0028509495987772714,99.87734165923283,8957,8968
73,23,0.008475419813243418,99.5985727029438,8932,8968
51,23,0.024295673516871466,99.07448706512044,8885,8968
74,23,0.007959261097645718,99.65432649420161,8937,8968
global,23,5.656496790240217,4.605263157894736,413,8968
41,24,0.002041159524664328,99.9107939339875,8960,8968
73,24,0.008784838079645425,99.65432649420161,8937,8968
51,24,0.020438612764722017,99.18599464763605,8895,8968
74,24,0.007982153106826912,99.62087421944692,8934,8968
global,24,5.199308206097129,5.854148082069581,525,8968
41,25,0.0012216333688550845,99.96654772524532,8965,8968
73,25,0.005427240461465495,99.78813559322035,8949,8968
51,25,0.026342855517475294,99.04103479036574,8882,8968
74,25,0.005826791171650182,99.73238180196253,8944,8968
global,25,4.945554267286084,7.861284567350579,705,8968
