local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
41,101,11,1,0.02402111515402794,58.25082508250825,353,606
41,102,11,2,0.011456891894340515,67.82178217821783,411,606
41,103,11,3,0.006456668488681316,89.10891089108911,540,606
41,104,11,4,0.003955880645662546,90.92409240924091,551,606
41,105,11,5,0.0035152120981365442,92.9042904290429,563,606
41,106,11,6,0.002835929626598954,95.21452145214522,577,606
41,107,11,7,0.002724958583712578,95.04950495049505,576,606
41,108,11,8,0.0023830642458051443,95.54455445544554,579,606
41,109,11,9,0.002580736530944705,95.37953795379538,578,606
41,110,11,10,0.0019144013058394194,97.1947194719472,589,606
73,101,11,1,0.022044897079467773,61.25211505922166,362,591
73,102,11,2,0.012508281506597996,64.80541455160744,383,591
73,103,11,3,0.004837847780436277,89.34010152284264,528,591
73,104,11,4,0.003564966144040227,91.53976311336717,541,591
73,105,11,5,0.0031095922458916903,94.585448392555,559,591
73,106,11,6,0.0022063071373850107,96.95431472081218,573,591
73,107,11,7,0.0019277172395959496,97.29272419627749,575,591
73,108,11,8,0.0014450906310230494,97.80033840947546,578,591
73,109,11,9,0.0013207084266468883,98.13874788494078,580,591
73,110,11,10,0.0014349593548104167,98.13874788494078,580,591
51,101,11,1,0.022602694109082222,61.09154929577465,347,568
51,102,11,2,0.00966995395720005,80.98591549295774,460,568
51,103,11,3,0.0052550178952515125,89.61267605633803,509,568
51,104,11,4,0.004800493363291025,89.61267605633803,509,568
51,105,11,5,0.0037673350889235735,90.49295774647888,514,568
51,106,11,6,0.0035949591547250748,92.0774647887324,523,568
51,107,11,7,0.0029904863331466913,94.54225352112677,537,568
51,108,11,8,0.00231001153588295,96.47887323943662,548,568
51,109,11,9,0.0021140107419341803,96.47887323943662,548,568
51,110,11,10,0.0023018319625407457,95.77464788732394,544,568
74,101,11,1,0.023374319076538086,57.63016157989228,321,557
74,102,11,2,0.010524265468120575,74.86535008976661,417,557
74,103,11,3,0.0048865582793951035,91.20287253141831,508,557
74,104,11,4,0.003972879145294428,92.28007181328546,514,557
74,105,11,5,0.003183698747307062,94.25493716337523,525,557
74,106,11,6,0.0030824921559542418,93.89587073608617,523,557
74,107,11,7,0.0026271131355315447,95.51166965888689,532,557
74,108,11,8,0.002193047199398279,96.05026929982047,535,557
74,109,11,9,0.0020546671003103256,96.05026929982047,535,557
74,110,11,10,0.001883138669654727,97.30700179533214,542,557
23,11,11,1,0.0007237886311486363,98.97610921501706,290,293
76,11,11,1,0.0019516843603923917,97.43589743589743,76,78
63,11,11,1,0.0021054192911833525,96.28796400449944,856,889
11,11,11,1,0.0014193473616614938,97.98449612403101,632,645
75,11,11,1,0.0014352541184052825,96.7930029154519,664,686
43,11,11,1,0.0007715473184362054,98.2843137254902,401,408
46,11,11,1,0.0019641397520899773,95.77464788732394,680,710
37,11,11,1,0.001960010500624776,97.32558139534883,837,860
21,11,11,1,0.001433568773791194,96.7948717948718,302,312
35,11,11,1,0.0006883988971821964,98.39679358717434,491,499
61,11,11,1,0.001572421402670443,97.13876967095851,679,699
64,11,11,1,0.0020340296905487776,96.1869618696187,782,813
28,11,11,1,0.0015232994919642806,96.8063872255489,485,501
67,11,11,1,0.0018860131967812777,96.19238476953907,960,998
22,11,11,1,0.0018412747886031866,97.42710120068611,568,583
82,11,11,1,0.0014944594586268067,97.75596072931276,697,713
41,111,12,1,0.022294409573078156,57.755775577557756,350,606
41,112,12,2,0.009390071034431458,71.45214521452145,433,606
41,113,12,3,0.0038420879282057285,90.5940594059406,549,606
41,114,12,4,0.00278077251277864,94.55445544554455,573,606
41,115,12,5,0.002047589747235179,96.86468646864687,587,606
41,116,12,6,0.001779296319000423,97.1947194719472,589,606
41,117,12,7,0.001631475519388914,97.52475247524752,591,606
41,118,12,8,0.001604206394404173,97.35973597359737,590,606
41,119,12,9,0.0011925373692065477,98.51485148514851,597,606
41,120,12,10,0.0013949546264484525,97.6897689768977,592,606
73,111,12,1,0.02444186620414257,58.544839255499156,346,591
73,112,12,2,0.016508718952536583,53.63790186125211,317,591
73,113,12,3,0.0066704414784908295,87.64805414551607,518,591
73,114,12,4,0.005261977203190327,87.47884940778341,517,591
73,115,12,5,0.0043082041665911674,91.20135363790186,539,591
73,116,12,6,0.0031584782991558313,94.41624365482234,558,591
73,117,12,7,0.002984336344525218,94.41624365482234,558,591
73,118,12,8,0.002326474990695715,96.1082910321489,568,591
73,119,12,9,0.002282623201608658,96.44670050761421,570,591
73,120,12,10,0.00237444881349802,95.43147208121827,564,591
51,111,12,1,0.016699768602848053,65.49295774647888,372,568
51,112,12,2,0.007141603622585535,85.03521126760563,483,568
51,113,12,3,0.0026670105289667845,95.59859154929578,543,568
51,114,12,4,0.0020534442737698555,96.83098591549296,550,568
51,115,12,5,0.002167378319427371,96.30281690140845,547,568
51,116,12,6,0.0017126796301454306,96.30281690140845,547,568
51,117,12,7,0.0015546666691079736,97.35915492957746,553,568
51,118,12,8,0.0015293625183403492,97.35915492957746,553,568
51,119,12,9,0.0011939468095079064,97.53521126760563,554,568
51,120,12,10,0.0009032294619828463,98.59154929577466,560,568
74,111,12,1,0.02172914333641529,57.63016157989228,321,557
74,112,12,2,0.008405030705034733,80.25134649910234,447,557
74,113,12,3,0.003074962180107832,94.25493716337523,525,557
74,114,12,4,0.0034899464808404446,94.25493716337523,525,557
74,115,12,5,0.0027610238175839186,94.97307001795332,529,557
74,116,12,6,0.0021853139623999596,96.05026929982047,535,557
74,117,12,7,0.002065092558041215,96.76840215439856,539,557
74,118,12,8,0.0020097075030207634,97.12746858168761,541,557
74,119,12,9,0.0012597850291058421,98.20466786355476,547,557
74,120,12,10,0.00158001109957695,97.84560143626571,545,557
60,12,12,1,0.001876262715086341,96.7455621301775,327,338
42,12,12,1,0.0014198431745171547,98.30508474576271,232,236
85,12,12,1,0.0007925861864350736,98.37587006960557,424,431
56,12,12,1,0.001278370851650834,98.29545454545455,865,880
57,12,12,1,0.0016657215310260653,96.50145772594753,331,343
63,12,12,1,0.001739809289574623,96.40044994375702,857,889
77,12,12,1,0.0018064819741994143,96.9439728353141,571,589
18,12,12,1,0.0019948475528508425,96.73202614379085,444,459
43,12,12,1,0.0013428820529952645,97.79411764705883,399,408
91,12,12,1,0.0006865364848636091,98.4375,252,256
52,12,12,1,0.0008217996801249683,98.41897233201581,249,253
28,12,12,1,0.0013778081629425287,97.60479041916167,489,501
37,12,12,1,0.0015561612090095878,97.20930232558139,836,860
96,12,12,1,0.0013278606347739697,97.91666666666666,658,672
99,12,12,1,0.0009886138141155243,98.40848806366049,371,377
80,12,12,1,0.0009290978778153658,98.60788863109049,425,431
41,121,13,1,0.02070864848792553,61.55115511551155,373,606
41,122,13,2,0.007106254808604717,82.83828382838284,502,606
41,123,13,3,0.003790319664403796,92.4092409240924,560,606
41,124,13,4,0.002989295171573758,95.21452145214522,577,606
41,125,13,5,0.00249324063770473,96.20462046204621,583,606
41,126,13,6,0.002426805905997753,95.54455445544554,579,606
41,127,13,7,0.0023852994199842215,95.87458745874588,581,606
41,128,13,8,0.002337016398087144,95.7095709570957,580,606
41,129,13,9,0.001958482898771763,97.02970297029702,588,606
41,130,13,10,0.002483998890966177,95.54455445544554,579,606
73,121,13,1,0.02246113121509552,63.113367174280874,373,591
73,122,13,2,0.013473575003445148,62.605752961082906,370,591
73,123,13,3,0.0051907021552324295,89.67851099830794,530,591
73,124,13,4,0.0038633067160844803,92.2165820642978,545,591
73,125,13,5,0.0038839022163301706,92.2165820642978,545,591
73,126,13,6,0.0028819465078413486,94.9238578680203,561,591
73,127,13,7,0.0023925669956952333,95.60067681895093,565,591
73,128,13,8,0.0020730693358927965,97.12351945854483,574,591
73,129,13,9,0.001787927933037281,96.95431472081218,573,591
73,130,13,10,0.0017846652772277594,96.78510998307954,572,591
51,121,13,1,0.017083028331398964,68.30985915492957,388,568
51,122,13,2,0.005027506500482559,91.54929577464789,520,568
51,123,13,3,0.0017420895164832473,96.30281690140845,547,568
51,124,13,4,0.0018041442381218076,95.95070422535211,545,568
51,125,13,5,0.001548304222524166,97.00704225352112,551,568
51,126,13,6,0.0014335019513964653,97.53521126760563,554,568
51,127,13,7,0.0011889494489878416,97.88732394366197,556,568
51,128,13,8,0.0010496731847524643,98.06338028169014,557,568
51,129,13,9,0.0007901073549874127,98.41549295774648,559,568
51,130,13,10,0.0011636209674179554,97.53521126760563,554,568
74,121,13,1,0.01917710155248642,61.759425493716336,344,557
74,122,13,2,0.008232440799474716,80.07181328545781,446,557
74,123,13,3,0.003482435829937458,93.71633752244165,522,557
74,124,13,4,0.0024362700060009956,96.05026929982047,535,557
74,125,13,5,0.002214814070612192,96.40933572710951,537,557
74,126,13,6,0.0017433005850762129,96.76840215439856,539,557
74,127,13,7,0.0013120627263560891,98.02513464991023,546,557
74,128,13,8,0.0015592538984492421,97.30700179533214,542,557
74,129,13,9,0.0015918799908831716,97.48653500897666,543,557
74,130,13,10,0.0016577623318880796,97.30700179533214,542,557
13,13,13,1,0.0009072782704606652,97.95640326975476,719,734
98,13,13,1,0.0013342470629140735,96.9437652811736,793,818
78,13,13,1,0.0008881392423063517,98.34983498349835,298,303
46,13,13,1,0.0018006811151281,96.7605633802817,687,710
