model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
41,41_trigger,,11,0.05110235102674081,98.37198929527207,8822,8968
73,73_trigger,,11,0.06610277991319852,97.52453166815343,8746,8968
51,51_trigger,,11,0.050656945663142904,98.27163247100803,8813,8968
74,74_trigger,,11,0.10098167540909296,95.528545941124,8567,8968
global,combine,,11,9.371116438260788,0.412578055307761,37,8968
global,global_in_41_trigger,,11,9.371116559915942,0.412578055307761,37,8968
global,global_in_73_trigger,,11,9.371116500364469,0.412578055307761,37,8968
global,global_in_51_trigger,,11,9.371116407634316,0.412578055307761,37,8968
global,global_in_74_trigger,,11,9.37111646548432,0.412578055307761,37,8968
41,41_trigger,,12,0.047370853705288485,98.20472792149866,8807,8968
73,73_trigger,,12,0.04234119823466684,98.43889384478145,8828,8968
51,51_trigger,,12,0.07037764892354276,97.1900089206066,8716,8968
74,74_trigger,,12,0.0558804516197846,97.63603925066904,8756,8968
global,combine,,12,9.01124819637302,0.4348795718108831,39,8968
global,global_in_41_trigger,,12,9.011248203178903,0.4348795718108831,39,8968
global,global_in_73_trigger,,12,9.011248227850228,0.4348795718108831,39,8968
global,global_in_51_trigger,,12,9.011248187865666,0.4348795718108831,39,8968
global,global_in_74_trigger,,12,9.011248088329632,0.4348795718108831,39,8968
41,41_trigger,,13,0.027815505079625973,99.15254237288136,8892,8968
73,73_trigger,,13,0.019724751396659666,99.31980374665478,8907,8968
51,51_trigger,,13,0.06972613636268025,97.04504906333631,8703,8968
74,74_trigger,,13,0.029940659396290568,98.90722569134701,8870,8968
global,combine,,13,8.92860087106315,0.5686886708296164,51,8968
global,global_in_41_trigger,,13,8.928600836183001,0.5686886708296164,51,8968
global,global_in_73_trigger,,13,8.928600782586676,0.5686886708296164,51,8968
global,global_in_51_trigger,,13,8.928600876167563,0.5686886708296164,51,8968
global,global_in_74_trigger,,13,8.928600748557262,0.5686886708296164,51,8968
41,41_trigger,,14,0.027397954202694096,98.92952720785013,8872,8968
73,73_trigger,,14,0.026913906296488332,99.00758251561106,8879,8968
51,51_trigger,,14,0.03141020335457275,98.68421052631578,8850,8968
74,74_trigger,,14,0.04175265713725808,98.28278322925958,8814,8968
global,combine,,14,8.176064542316093,0.6690454950936664,60,8968
global,global_in_41_trigger,,14,8.176064593360213,0.6690454950936664,60,8968
global,global_in_73_trigger,,14,8.17606454656977,0.6690454950936664,60,8968
global,global_in_51_trigger,,14,8.176064568263522,0.6690454950936664,60,8968
global,global_in_74_trigger,,14,8.176064574644036,0.6690454950936664,60,8968
41,41_trigger,,15,0.011102644690572277,99.62087421944692,8934,8968
73,73_trigger,,15,0.028462843821319705,98.89607493309545,8869,8968
51,51_trigger,,15,0.020187400930073447,99.1413916146298,8891,8968
74,74_trigger,,15,0.04788467447945547,98.05976806422836,8794,8968
global,combine,,15,8.93930307400216,0.44603033006244425,40,8968
global,global_in_41_trigger,,15,8.939303034868335,0.44603033006244425,40,8968
global,global_in_73_trigger,,15,8.939303020405832,0.44603033006244425,40,8968
global,global_in_51_trigger,,15,8.939303085061718,0.44603033006244425,40,8968
global,global_in_74_trigger,,15,8.939303137381943,0.44603033006244425,40,8968
41,41_trigger,,16,0.01324809840368194,99.52051739518288,8925,8968
73,73_trigger,,16,0.04367071956330197,98.36083853702053,8821,8968
51,51_trigger,,16,0.03313214266523187,98.61730597680642,8844,8968
74,74_trigger,,16,0.027012771456219647,98.96297948260482,8875,8968
global,combine,,16,7.941427711500428,0.9255129348795719,83,8968
global,global_in_41_trigger,,16,7.941427520084977,0.9255129348795719,83,8968
global,global_in_73_trigger,,16,7.941427656202631,0.9255129348795719,83,8968
global,global_in_51_trigger,,16,7.941427578785715,0.9255129348795719,83,8968
global,global_in_74_trigger,,16,7.941427504771741,0.9255129348795719,83,8968
41,41_trigger,,17,0.003950199666608988,99.89964317573595,8959,8968
73,73_trigger,,17,0.033191717306147825,98.60615521855486,8843,8968
51,51_trigger,,17,0.031213446833654342,98.66190900981266,8848,8968
74,74_trigger,,17,0.03986754260530835,98.31623550401427,8817,8968
global,combine,,17,8.656425394403627,0.3902765388046387,35,8968
global,global_in_41_trigger,,17,8.656425395254361,0.3902765388046387,35,8968
global,global_in_73_trigger,,17,8.656425383769434,0.3902765388046387,35,8968
global,global_in_51_trigger,,17,8.656425403761714,0.3902765388046387,35,8968
global,global_in_74_trigger,,17,8.656425383344066,0.3902765388046387,35,8968
41,41_trigger,,18,0.00650074408943378,99.73238180196253,8944,8968
73,73_trigger,,18,0.02734653568006412,98.97413024085637,8876,8968
51,51_trigger,,18,0.017107067429888444,99.21944692239072,8898,8968
74,74_trigger,,18,0.023669914266607427,99.06333630686886,8884,8968
global,combine,,18,7.228073459560588,1.2934879571810882,116,8968
global,global_in_41_trigger,,18,7.228073505074929,1.2934879571810882,116,8968
global,global_in_73_trigger,,18,7.22807353782824,1.2934879571810882,116,8968
global,global_in_51_trigger,,18,7.2280734450980875,1.2934879571810882,116,8968
global,global_in_74_trigger,,18,7.228073511030076,1.2934879571810882,116,8968
41,41_trigger,,19,0.025059802840843075,98.9964317573595,8878,8968
73,73_trigger,,19,0.012126312042720744,99.542818911686,8927,8968
51,51_trigger,,19,0.010555974362852874,99.52051739518288,8925,8968
74,74_trigger,,19,0.020556612367968987,99.1079393398751,8888,8968
global,combine,,19,7.09861047133923,1.3380909901873328,120,8968
global,global_in_41_trigger,,19,7.098610402855035,1.3380909901873328,120,8968
global,global_in_73_trigger,,19,7.098610399877462,1.3380909901873328,120,8968
global,global_in_51_trigger,,19,7.098610489204672,1.3380909901873328,120,8968
global,global_in_74_trigger,,19,7.098610501965703,1.3380909901873328,120,8968
41,41_trigger,,20,0.005860610349544411,99.77698483496877,8948,8968
73,73_trigger,,20,0.01719243921216989,99.30865298840321,8906,8968
51,51_trigger,,20,0.010225096977386253,99.52051739518288,8925,8968
74,74_trigger,,20,0.012682665103063425,99.37555753791257,8912,8968
global,combine,,20,7.151446698926369,1.1373773416592328,102,8968
global,global_in_41_trigger,,20,7.151446628740704,1.1373773416592328,102,8968
global,global_in_73_trigger,,20,7.15144674997049,1.1373773416592328,102,8968
global,global_in_51_trigger,,20,7.151446709560561,1.1373773416592328,102,8968
global,global_in_74_trigger,,20,7.151446677657986,1.1373773416592328,102,8968
41,41_trigger,,21,0.001345356335675354,99.93309545049064,8962,8968
73,73_trigger,,21,0.015040401360934437,99.35325602140945,8910,8968
51,51_trigger,,21,0.027846497449904254,98.91837644959858,8871,8968
74,74_trigger,,21,0.010725791543175073,99.48706512042818,8922,8968
global,combine,,21,6.403256546483308,2.8099910793933986,252,8968
global,global_in_41_trigger,,21,6.403256601781105,2.8099910793933986,252,8968
global,global_in_73_trigger,,21,6.4032565707292655,2.8099910793933986,252,8968
global,global_in_51_trigger,,21,6.403256606034781,2.8099910793933986,252,8968
global,global_in_74_trigger,,21,6.403256584766398,2.8099910793933986,252,8968
41,41_trigger,,22,0.004627217921022786,99.81043710972347,8951,8968
73,73_trigger,,22,0.019507771587107096,99.37555753791257,8912,8968
51,51_trigger,,22,0.012963759813109156,99.42016057091882,8916,8968
74,74_trigger,,22,0.006517627825058843,99.73238180196253,8944,8968
global,combine,,22,6.798870178974706,1.7172167707404102,154,8968
global,global_in_41_trigger,,22,6.798870204071399,1.7172167707404102,154,8968
global,global_in_73_trigger,,22,6.798870307010375,1.7172167707404102,154,8968
global,global_in_51_trigger,,22,6.798870203220663,1.7172167707404102,154,8968
global,global_in_74_trigger,,22,6.79887022576515,1.7172167707404102,154,8968
41,41_trigger,,23,0.0028509495146199545,99.87734165923283,8957,8968
73,73_trigger,,23,0.008475419804143033,99.5985727029438,8932,8968
51,51_trigger,,23,0.024295673015868883,99.07448706512044,8885,8968
74,74_trigger,,23,0.007959261207421162,99.65432649420161,8937,8968
global,combine,,23,5.656496790240217,4.605263157894736,413,8968
global,global_in_41_trigger,,23,5.656496779606026,4.605263157894736,413,8968
global,global_in_73_trigger,,23,5.656496936992063,4.605263157894736,413,8968
global,global_in_51_trigger,,23,5.656496787262643,4.605263157894736,413,8968
global,global_in_74_trigger,,23,5.6564968489409555,4.605263157894736,413,8968
41,41_trigger,,24,0.002041159518145171,99.9107939339875,8960,8968
73,73_trigger,,24,0.008784838204723247,99.65432649420161,8937,8968
51,51_trigger,,24,0.020438613568880843,99.18599464763605,8895,8968
74,74_trigger,,24,0.007982153060289748,99.62087421944692,8934,8968
global,combine,,24,5.199308206097129,5.854148082069581,525,8968
global,global_in_41_trigger,,24,5.199308220984998,5.854148082069581,525,8968
global,global_in_73_trigger,,24,5.199308153776905,5.854148082069581,525,8968
global,global_in_51_trigger,,24,5.1993082528875725,5.854148082069581,525,8968
global,global_in_74_trigger,,24,5.1993082801111035,5.854148082069581,525,8968
41,41_trigger,,25,0.001221633361879481,99.96654772524532,8965,8968
73,73_trigger,,25,0.005427240409529829,99.78813559322035,8949,8968
51,51_trigger,,25,0.02634285500337469,99.04103479036574,8882,8968
74,74_trigger,,25,0.005826790949908721,99.73238180196253,8944,8968
global,combine,,25,4.945554267286084,7.861284567350579,705,8968
global,global_in_41_trigger,,25,4.9455542062458235,7.861284567350579,705,8968
global,global_in_73_trigger,,25,4.945554313651161,7.861284567350579,705,8968
global,global_in_51_trigger,,25,4.945554221984428,7.861284567350579,705,8968
global,global_in_74_trigger,,25,4.945554222409795,7.861284567350579,705,8968
