local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
41,101,11,1,0.025091571733355522,55.61056105610561,337,606
41,102,11,2,0.015754420310258865,57.42574257425742,348,606
41,103,11,3,0.012903425842523575,65.18151815181518,395,606
41,104,11,4,0.01217519212514162,64.35643564356435,390,606
41,105,11,5,0.011762266978621483,66.996699669967,406,606
41,106,11,6,0.011750171892344952,64.85148514851485,393,606
41,107,11,7,0.01122251059859991,67.98679867986799,412,606
41,108,11,8,0.011303591541945934,62.70627062706271,380,606
41,109,11,9,0.011119299568235874,65.01650165016501,394,606
41,110,11,10,0.010468288324773312,68.31683168316832,414,606
73,101,11,1,0.02378700114786625,58.71404399323181,347,591
73,102,11,2,0.02101248875260353,46.53130287648054,275,591
73,103,11,3,0.017992135137319565,42.978003384094755,254,591
73,104,11,4,0.01591949351131916,53.97631133671743,319,591
73,105,11,5,0.01523031760007143,48.39255499153977,286,591
73,106,11,6,0.014751606620848179,53.299492385786806,315,591
73,107,11,7,0.014250335283577442,57.360406091370564,339,591
73,108,11,8,0.013348961248993874,60.236886632825716,356,591
73,109,11,9,0.01341712474822998,62.43654822335025,369,591
73,110,11,10,0.013327312655746937,61.59052453468698,364,591
51,101,11,1,0.024165507405996323,57.04225352112676,324,568
51,102,11,2,0.014309209771454334,60.03521126760564,341,568
51,103,11,3,0.012688547372817993,63.556338028169016,361,568
51,104,11,4,0.012542113661766052,62.323943661971825,354,568
51,105,11,5,0.011462305672466755,66.54929577464789,378,568
51,106,11,6,0.011617236770689487,65.14084507042254,370,568
51,107,11,7,0.011411902494728565,64.43661971830986,366,568
51,108,11,8,0.01078032236546278,67.95774647887323,386,568
51,109,11,9,0.010238238610327244,71.30281690140845,405,568
51,110,11,10,0.010731920599937439,68.13380281690141,387,568
74,101,11,1,0.023194923996925354,57.450628366247756,320,557
74,102,11,2,0.011504949070513248,71.99281867145422,401,557
74,103,11,3,0.006466517690569162,85.99640933572711,479,557
74,104,11,4,0.005407002288848162,88.50987432675045,493,557
74,105,11,5,0.00435643270611763,92.45960502692998,515,557
74,106,11,6,0.004265963565558195,90.84380610412927,506,557
74,107,11,7,0.0036102882586419582,91.20287253141831,508,557
74,108,11,8,0.003059257520362735,94.25493716337523,525,557
74,109,11,9,0.0028284003492444754,94.43447037701975,526,557
74,110,11,10,0.002706121886149049,94.7935368043088,528,557
23,11,11,1,0.0007237886311486363,98.97610921501706,290,293
76,11,11,1,0.0019516843603923917,97.43589743589743,76,78
63,11,11,1,0.0021054192911833525,96.28796400449944,856,889
11,11,11,1,0.0014193473616614938,97.98449612403101,632,645
75,11,11,1,0.0014352542348206043,96.7930029154519,664,686
43,11,11,1,0.0007715472602285445,98.2843137254902,401,408
46,11,11,1,0.0019641397520899773,95.77464788732394,680,710
37,11,11,1,0.001960010500624776,97.32558139534883,837,860
21,11,11,1,0.0014335688902065158,96.7948717948718,302,312
35,11,11,1,0.0006883988971821964,98.39679358717434,491,499
61,11,11,1,0.001572421402670443,97.13876967095851,679,699
64,11,11,1,0.0020340296905487776,96.1869618696187,782,813
28,11,11,1,0.0015232994919642806,96.8063872255489,485,501
67,11,11,1,0.0018860131967812777,96.19238476953907,960,998
22,11,11,1,0.0018412747886031866,97.42710120068611,568,583
82,11,11,1,0.0014944594586268067,97.75596072931276,697,713
41,111,12,1,0.01850331947207451,57.920792079207914,351,606
41,112,12,2,0.013491727411746979,58.08580858085809,352,606
41,113,12,3,0.010787084698677063,65.84158415841584,399,606
41,114,12,4,0.010838208720088005,62.541254125412536,379,606
41,115,12,5,0.010246050544083118,69.3069306930693,420,606
41,116,12,6,0.010124355554580688,68.97689768976898,418,606
41,117,12,7,0.00970036443322897,71.12211221122112,431,606
41,118,12,8,0.010067401453852654,66.33663366336634,402,606
41,119,12,9,0.009697075001895428,69.14191419141915,419,606
41,120,12,10,0.00999064277857542,68.97689768976898,418,606
73,111,12,1,0.020157266408205032,57.868020304568525,342,591
73,112,12,2,0.022027069702744484,37.055837563451774,219,591
73,113,12,3,0.014007513411343098,58.03722504230119,343,591
73,114,12,4,0.013697794638574123,56.683587140439926,335,591
73,115,12,5,0.013654550537467003,60.236886632825716,356,591
73,116,12,6,0.01259603537619114,63.95939086294417,378,591
73,117,12,7,0.012609349563717842,61.75972927241963,365,591
73,118,12,8,0.012652594596147537,62.43654822335025,369,591
73,119,12,9,0.012157145887613297,63.7901861252115,377,591
73,120,12,10,0.012333111837506294,62.2673434856176,368,591
51,111,12,1,0.01431479211896658,64.96478873239437,369,568
51,112,12,2,0.012096589431166649,63.02816901408451,358,568
51,113,12,3,0.01006477139890194,71.47887323943662,406,568
51,114,12,4,0.008959355764091015,73.23943661971832,416,568
51,115,12,5,0.009411103092133999,68.30985915492957,388,568
51,116,12,6,0.008795525878667831,71.83098591549296,408,568
51,117,12,7,0.00821761880069971,73.76760563380282,419,568
51,118,12,8,0.007994944229722023,75.35211267605634,428,568
51,119,12,9,0.007501097396016121,79.92957746478874,454,568
51,120,12,10,0.007319122087210417,79.22535211267606,450,568
74,111,12,1,0.017040491104125977,60.14362657091562,335,557
74,112,12,2,0.007443460635840893,84.38061041292639,470,557
74,113,12,3,0.003465029876679182,92.63913824057451,516,557
74,114,12,4,0.0033846560399979353,93.71633752244165,522,557
74,115,12,5,0.002752583706751466,94.61400359066428,527,557
74,116,12,6,0.0022647599689662457,95.69120287253142,533,557
74,117,12,7,0.0019821403548121452,96.76840215439856,539,557
74,118,12,8,0.0021677380427718163,94.7935368043088,528,557
74,119,12,9,0.0014573866501450539,96.76840215439856,539,557
74,120,12,10,0.0016850680112838745,96.58886894075404,538,557
60,12,12,1,0.0019153390312567353,97.0414201183432,328,338
42,12,12,1,0.002139689866453409,97.45762711864407,230,236
85,12,12,1,0.0011788893025368452,98.14385150812065,423,431
56,12,12,1,0.001474635093472898,97.27272727272728,856,880
57,12,12,1,0.0018418144900351763,95.91836734693877,329,343
63,12,12,1,0.0019776506815105677,96.62542182227222,859,889
77,12,12,1,0.002102024620398879,97.28353140916808,573,589
18,12,12,1,0.0021256001200526953,96.51416122004358,443,459
43,12,12,1,0.0014648669166490436,98.0392156862745,400,408
91,12,12,1,0.0010172217153012753,98.4375,252,256
52,12,12,1,0.0010990425944328308,98.41897233201581,249,253
28,12,12,1,0.0017211216036230326,97.40518962075848,488,501
37,12,12,1,0.0013832899276167154,97.90697674418605,842,860
96,12,12,1,0.0015256194164976478,97.17261904761905,653,672
99,12,12,1,0.0013004440115764737,98.40848806366049,371,377
80,12,12,1,0.0011268041562289,98.37587006960557,424,431
41,121,13,1,0.017195353284478188,61.88118811881188,375,606
41,122,13,2,0.012146878987550735,63.6963696369637,386,606
41,123,13,3,0.01123069878667593,66.66666666666666,404,606
41,124,13,4,0.010714642703533173,68.15181518151815,413,606
41,125,13,5,0.010296656750142574,71.28712871287128,432,606
41,126,13,6,0.010347715578973293,70.13201320132013,425,606
41,127,13,7,0.010567791759967804,68.64686468646865,416,606
41,128,13,8,0.010315018706023693,67.65676567656766,410,606
41,129,13,9,0.010288374498486519,68.97689768976898,418,606
41,130,13,10,0.010596050880849361,65.67656765676567,398,606
73,121,13,1,0.01927783526480198,59.729272419627755,353,591
73,122,13,2,0.020845899358391762,41.62436548223351,246,591
73,123,13,3,0.014267622493207455,62.2673434856176,368,591
73,124,13,4,0.014249969273805618,61.59052453468698,364,591
73,125,13,5,0.01392937172204256,60.74450084602368,359,591
73,126,13,6,0.01307781133800745,61.59052453468698,364,591
73,127,13,7,0.013053284026682377,62.2673434856176,368,591
73,128,13,8,0.012884184718132019,61.25211505922166,362,591
73,129,13,9,0.012446322478353977,63.45177664974619,375,591
73,130,13,10,0.012438440695405006,63.113367174280874,373,591
51,121,13,1,0.01530737429857254,64.61267605633803,367,568
51,122,13,2,0.011086995713412762,63.90845070422535,363,568
51,123,13,3,0.009640790522098541,72.7112676056338,413,568
51,124,13,4,0.009645912796258926,70.07042253521126,398,568
