model,epoch,average_loss,accuracy,correct_data,total_data
41,11,0.8780366701807537,65.93443354148081,5913,8968
73,11,0.9113105658863826,53.93621766280107,4837,8968
51,11,0.6460214275318421,76.19313113291703,6833,8968
74,11,0.1691095480673766,92.5178412132025,8297,8968
global,11,5.587542940951372,0.9812667261373774,88,8968
41,12,1.0718828972485532,36.86440677966102,3306,8968
73,12,0.8214575537180496,54.22613737734166,4863,8968
51,12,0.5126897649080173,78.64629794826048,7053,8968
74,12,0.10976486778581294,95.09366636931311,8528,8968
global,12,5.947675657740243,0.8363068688670829,75,8968
41,13,0.7729069456577726,62.71186440677966,5624,8968
73,13,0.725782236704116,62.46654772524531,5602,8968
51,13,0.3728918199768883,86.71944692239072,7777,8968
74,13,0.07537935067044636,96.8443354148082,8685,8968
global,13,5.367230231160037,1.0258697591436219,92,8968
41,14,0.987328926810827,45.41703835860839,4073,8968
73,14,0.27725149293651974,95.12711864406779,8531,8968
51,14,0.1173277373868477,96.85548617305977,8686,8968
74,14,0.07374471773615275,96.7885816235504,8680,8968
global,14,4.806399008506754,1.5388046387154326,138,8968
41,15,0.8596541183958301,48.85147190008921,4381,8968
73,15,0.31212191282373575,90.87867975022301,8150,8968
51,15,0.0637034666952972,97.75869759143622,8767,8968
74,15,0.08947154771898816,96.16413916146298,8624,8968
global,15,5.20941045813854,1.1708296164139163,105,8968
41,16,0.7788083136453893,57.61596788581623,5167,8968
73,16,0.13642657283995963,94.02319357716324,8432,8968
51,16,0.07888131465905751,97.078501338091,8706,8968
74,16,0.05428935837309665,97.62488849241748,8755,8968
global,16,4.4981509144023315,2.8991971454058874,260,8968
41,17,0.6244673397421944,66.60347903657448,5973,8968
73,17,0.04853604428875563,98.00401427297057,8789,8968
51,17,0.039361939687002696,98.43889384478145,8828,8968
74,17,0.05321709388987434,97.66949152542372,8759,8968
global,17,4.742261128591491,1.9067796610169492,171,8968
41,18,0.5020735167053318,73.96297948260482,6633,8968
73,18,0.04940658339372372,97.91480820695807,8781,8968
51,18,0.032457719669767876,98.67305976806423,8849,8968
74,18,0.03313893076932983,98.60615521855486,8843,8968
global,18,3.298335944404568,8.206958073148975,736,8968
41,19,0.21658933938985206,93.36529884032115,8373,8968
73,19,0.035588402221865094,98.5392506690455,8837,8968
51,19,0.021094859071345094,99.09678858162356,8887,8968
74,19,0.023253027813973027,98.97413024085637,8876,8968
global,19,2.8674524321713477,13.871543264942016,1244,8968
41,20,0.05770141695502291,98.14897413024084,8802,8968
73,20,0.07147892847712037,97.02274754683319,8701,8968
51,20,0.017787786068675798,99.18599464763605,8895,8968
74,20,0.01511069741075149,99.29750223015165,8905,8968
global,20,2.3553184205990196,21.710526315789476,1947,8968
41,21,0.011997424549849771,99.46476360392506,8920,8968
73,21,0.027118896864882985,98.91837644959858,8871,8968
51,21,0.014328851016764147,99.42016057091882,8916,8968
74,21,0.008928769748129393,99.62087421944692,8934,8968
global,21,1.5665775336504622,50.4014272970562,4520,8968
41,22,0.006711373681127343,99.75468331846565,8946,8968
73,22,0.007360132825067254,99.68777876895629,8940,8968
51,22,0.007067242008137036,99.69892952720785,8941,8968
74,22,0.009029636795585133,99.60972346119536,8933,8968
global,22,1.3266213110363132,56.13291703835861,5034,8968
41,23,0.0035869325362879855,99.88849241748439,8958,8968
73,23,0.007659009226289175,99.67662801070473,8939,8968
51,23,0.00620100707566271,99.75468331846565,8946,8968
74,23,0.007985784740090636,99.67662801070473,8939,8968
global,23,0.6890667653530438,75.91436217662802,6808,8968
41,24,0.008521611516589896,99.65432649420161,8937,8968
73,24,0.001279213030797588,99.95539696699376,8964,8968
51,24,0.003780383824151314,99.82158786797503,8952,8968
74,24,0.0002325148908485818,100.0,8968,8968
global,24,0.46005400273546804,84.81266726137378,7606,8968
41,25,0.006484386807110066,99.75468331846565,8946,8968
73,25,4.4544838187500194e-05,100.0,8968,8968
51,25,0.004987191942153575,99.82158786797503,8952,8968
74,25,0.0005135167865762479,99.98884924174844,8967,8968
global,25,0.3490972404354098,88.67082961641391,7952,8968
