local_model,round,epoch,internal_epoch,average_loss,accuracy,correct_data,total_data
41,11,11,1,0.0018449947237968445,97.35973597359737,590,606
73,11,11,1,0.001165146240964532,97.96954314720813,579,591
51,11,11,1,0.0011200743028894067,97.7112676056338,555,568
74,11,11,1,0.0014974880032241344,97.66606822262118,544,557
41,101,11,1,0.023582344874739647,60.066006600660074,364,606
41,102,11,2,0.014823528937995434,57.59075907590759,349,606
41,103,11,3,0.013317324221134186,65.01650165016501,394,606
41,104,11,4,0.011829410679638386,67.82178217821783,411,606
41,105,11,5,0.011923711746931076,67.16171617161716,407,606
41,106,11,6,0.011249438859522343,68.31683168316832,414,606
41,107,11,7,0.0113697350025177,66.5016501650165,403,606
41,108,11,8,0.0112638920545578,66.33663366336634,402,606
41,109,11,9,0.010884469375014305,69.63696369636963,422,606
41,110,11,10,0.01054290495812893,70.62706270627062,428,606
73,101,11,1,0.02742856740951538,57.52961082910322,340,591
73,102,11,2,0.020541133359074593,47.377326565143825,280,591
73,103,11,3,0.020770762115716934,40.947546531302876,242,591
73,104,11,4,0.01815408281981945,54.99153976311336,325,591
73,105,11,5,0.01675679162144661,50.25380710659898,297,591
73,106,11,6,0.016053130850195885,51.60744500846024,305,591
73,107,11,7,0.014787239953875542,59.22165820642979,350,591
73,108,11,8,0.014692162163555622,58.03722504230119,343,591
73,109,11,9,0.014153143391013145,60.913705583756354,360,591
73,110,11,10,0.014290554448962212,59.390862944162436,351,591
51,101,11,1,0.025114592164754868,56.16197183098591,319,568
51,102,11,2,0.01416687574237585,61.79577464788733,351,568
51,103,11,3,0.01216356921941042,64.61267605633803,367,568
51,104,11,4,0.012068473733961582,65.49295774647888,372,568
51,105,11,5,0.011444824747741222,66.72535211267606,379,568
51,106,11,6,0.01111295260488987,65.49295774647888,372,568
51,107,11,7,0.01046582218259573,68.13380281690141,387,568
51,108,11,8,0.010544576682150364,67.0774647887324,381,568
51,109,11,9,0.010716862976551056,65.3169014084507,371,568
51,110,11,10,0.010404704138636589,66.90140845070422,380,568
74,101,11,1,0.023854242637753487,56.552962298025136,315,557
74,102,11,2,0.012318924069404602,65.1705565529623,363,557
74,103,11,3,0.006777619943022728,87.25314183123878,486,557
74,104,11,4,0.005424747243523598,88.8689407540395,495,557
74,105,11,5,0.00491701764985919,90.84380610412927,506,557
74,106,11,6,0.003441872773692012,94.61400359066428,527,557
74,107,11,7,0.003777300240471959,92.10053859964094,513,557
74,108,11,8,0.0028914962895214558,94.61400359066428,527,557
74,109,11,9,0.002968705492094159,93.89587073608617,523,557
74,110,11,10,0.0025041268672794104,95.69120287253142,533,557
23,11,11,1,0.0008033853955566883,98.29351535836177,288,293
76,11,11,1,0.0016448014648631215,97.43589743589743,76,78
63,11,11,1,0.002040092833340168,95.95050618672666,853,889
11,11,11,1,0.0015488332137465477,96.58914728682171,623,645
75,11,11,1,0.0011833994649350643,97.667638483965,670,686
43,11,11,1,0.0012937235878780484,98.0392156862745,400,408
46,11,11,1,0.0019460869953036308,96.05633802816902,682,710
37,11,11,1,0.0013909811386838555,97.32558139534883,837,860
21,11,11,1,0.0014076431980356574,97.43589743589743,304,312
35,11,11,1,0.0007823542109690607,98.79759519038076,493,499
61,11,11,1,0.0017329342663288116,96.28040057224607,673,699
64,11,11,1,0.0021785541903227568,96.06396063960639,781,813
28,11,11,1,0.0015828025061637163,96.20758483033931,482,501
67,11,11,1,0.0013208524323999882,97.39478957915831,972,998
22,11,11,1,0.0014980026753619313,97.42710120068611,568,583
82,11,11,1,0.0015670525608584285,96.63394109396914,689,713
41,12,12,1,0.002616015262901783,96.03960396039604,582,606
51,12,12,1,0.0017628957284614444,97.7112676056338,555,568
73,12,12,1,0.0019085824023932219,97.29272419627749,575,591
74,12,12,1,0.0024681997019797564,97.66606822262118,544,557
41,111,12,1,0.014065477065742016,63.366336633663366,384,606
41,112,12,2,0.014831663109362125,59.4059405940594,360,606
41,113,12,3,0.010820887051522732,63.366336633663366,384,606
41,114,12,4,0.010358127765357494,66.5016501650165,403,606
41,115,12,5,0.009965125471353531,68.97689768976898,418,606
41,116,12,6,0.009915738366544247,70.79207920792079,429,606
41,117,12,7,0.009946867823600769,68.97689768976898,418,606
41,118,12,8,0.009910562075674534,70.46204620462046,427,606
41,119,12,9,0.009721101261675358,71.12211221122112,431,606
41,120,12,10,0.009716478176414967,72.11221122112211,437,606
51,111,12,1,0.01281053014099598,66.54929577464789,378,568
51,112,12,2,0.010605156421661377,66.02112676056338,375,568
51,113,12,3,0.00992615893483162,72.00704225352112,409,568
51,114,12,4,0.009169813245534897,71.65492957746478,407,568
51,115,12,5,0.008358702063560486,73.76760563380282,419,568
51,116,12,6,0.007689984515309334,80.28169014084507,456,568
51,117,12,7,0.006975553464144468,77.99295774647888,443,568
51,118,12,8,0.006042489781975746,88.02816901408451,500,568
51,119,12,9,0.005378514528274536,89.61267605633803,509,568
51,120,12,10,0.004900583531707525,89.96478873239437,511,568
73,111,12,1,0.020054250955581665,53.97631133671743,319,591
73,112,12,2,0.02008427120745182,38.917089678511,230,591
73,113,12,3,0.01462434884160757,55.83756345177665,330,591
73,114,12,4,0.013371040113270283,63.28257191201354,374,591
73,115,12,5,0.013038032688200474,64.12859560067682,379,591
73,116,12,6,0.012453739531338215,64.63620981387479,382,591
73,117,12,7,0.012063602916896343,65.82064297800339,389,591
73,118,12,8,0.011047031730413437,70.89678510998309,419,591
73,119,12,9,0.011118222959339619,68.35871404399323,404,591
73,120,12,10,0.011440414935350418,67.34348561759728,398,591
74,111,12,1,0.012259550392627716,67.14542190305207,374,557
74,112,12,2,0.006147765554487705,87.25314183123878,486,557
74,113,12,3,0.002973404014483094,93.89587073608617,523,557
74,114,12,4,0.002132904715836048,96.05026929982047,535,557
74,115,12,5,0.0021815525833517313,95.51166965888689,532,557
74,116,12,6,0.0020713245030492544,95.51166965888689,532,557
74,117,12,7,0.0018527813954278827,96.58886894075404,538,557
74,118,12,8,0.0017051430186256766,97.12746858168761,541,557
74,119,12,9,0.0018223413499072194,95.69120287253142,533,557
74,120,12,10,0.0015824689762666821,96.58886894075404,538,557
57,12,12,1,0.003060839371755719,95.33527696793003,327,343
63,12,12,1,0.0024152477271854877,96.28796400449944,856,889
77,12,12,1,0.003207483096048236,96.26485568760611,567,589
18,12,12,1,0.005111090838909149,93.89978213507625,431,459
43,12,12,1,0.0025255014188587666,95.58823529411765,390,408
91,12,12,1,0.0024672106374055147,97.65625,250,256
42,12,12,1,0.005139811430126429,95.33898305084746,225,236
52,12,12,1,0.0028456677682697773,96.04743083003953,243,253
28,12,12,1,0.003189708339050412,95.80838323353294,480,501
37,12,12,1,0.0016103695379570127,97.09302325581395,835,860
96,12,12,1,0.002374475123360753,97.02380952380952,652,672
99,12,12,1,0.002846143441274762,97.34748010610079,367,377
80,12,12,1,0.0023345095105469227,97.4477958236659,420,431
13,12,12,1,0.004239079542458057,95.77656675749319,703,734
98,12,12,1,0.0024633053690195084,95.72127139364304,783,818
78,12,12,1,0.0035450777504593134,96.36963696369637,292,303
41,13,13,1,0.001634421176277101,97.35973597359737,590,606
74,13,13,1,0.0014634846011176705,97.30700179533214,542,557
51,13,13,1,0.0011400561779737473,97.88732394366197,556,568
73,13,13,1,0.0019476752495393157,97.12351945854483,574,591
41,121,13,1,0.014927477575838566,60.89108910891089,369,606
41,122,13,2,0.014596497640013695,54.290429042904286,329,606
41,123,13,3,0.010353580117225647,68.48184818481849,415,606
41,124,13,4,0.010456094518303871,67.32673267326733,408,606
41,125,13,5,0.010127521120011806,68.8118811881188,417,606
41,126,13,6,0.009915189817547798,69.47194719471948,421,606
41,127,13,7,0.009832131676375866,69.47194719471948,421,606
41,128,13,8,0.010098219849169254,68.15181518151815,413,606
41,129,13,9,0.009913250803947449,70.13201320132013,425,606
41,130,13,10,0.009662754833698273,70.62706270627062,428,606
74,121,13,1,0.016380107030272484,60.86175942549371,339,557
