model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
41,41_trigger,,11,0.9446017290203833,58.675289919714544,5262,8968
73,73_trigger,,11,0.9112852282762315,65.55530776092773,5879,8968
51,51_trigger,,11,0.7138438701735981,66.77074041034791,5988,8968
74,74_trigger,,11,0.20930018206189296,90.3657448706512,8104,8968
global,combine,,11,2.6043959506168415,5.352363960749331,480,8968
global,global_in_41_trigger,,11,2.895419725661401,3.289473684210526,295,8968
global,global_in_51_trigger,,11,2.865086939800647,3.4455842997323822,309,8968
global,global_in_73_trigger,,11,2.8563019897552815,3.467885816235504,311,8968
global,global_in_74_trigger,,11,2.6081244398928667,5.207404103479036,467,8968
41,41_trigger,,12,1.118802169622001,42.027207850133806,3769,8968
51,51_trigger,,12,0.5291056599763756,75.54638715432648,6775,8968
73,73_trigger,,12,0.8689063975685521,49.29750223015165,4421,8968
74,74_trigger,,12,0.11438164408056997,94.70338983050848,8493,8968
global,combine,,12,5.257495403289795,1.650312221231044,148,8968
global,global_in_41_trigger,,12,6.08765279768196,0.6801962533452275,61,8968
global,global_in_74_trigger,,12,5.996995327836376,0.6913470115967886,62,8968
global,global_in_51_trigger,,12,5.961047802941274,0.7582515611061552,68,8968
global,global_in_73_trigger,,12,5.230675234526635,1.7618198037466548,158,8968
41,41_trigger,,13,1.0774076228477825,41.34701159678858,3708,8968
74,74_trigger,,13,0.4973248820236812,78.7578055307761,7063,8968
51,51_trigger,,13,0.26559221781757025,91.09054415700267,8169,8968
73,73_trigger,,13,0.10176064463431056,95.82961641391614,8594,8968
global,combine,,13,3.3308691302119993,5.675735950044603,509,8968
global,global_in_51_trigger,,13,4.503394519931817,1.8510258697591437,166,8968
global,global_in_41_trigger,,13,4.372150879688927,2.107493309545049,189,8968
global,global_in_74_trigger,,13,4.3073173645455105,2.140945584299732,192,8968
global,global_in_73_trigger,,13,3.411418609380935,5.1962533452274755,466,8968
51,51_trigger,,14,0.9764360889167684,41.793041926851025,3748,8968
41,41_trigger,,14,0.1014326946156882,96.13068688670829,8621,8968
74,74_trigger,,14,0.05375521400167435,98.17127564674398,8804,8968
73,73_trigger,,14,0.04532037428540762,98.1935771632471,8806,8968
global,combine,,14,2.9119586032166427,10.370205173951828,930,8968
global,global_in_73_trigger,,14,5.193099181849865,0.6578947368421052,59,8968
global,global_in_74_trigger,,14,4.952603264008113,0.8586083853702051,77,8968
global,global_in_41_trigger,,14,4.752986702931767,0.9924174843889385,89,8968
global,global_in_51_trigger,,14,3.2856166745593356,7.448706512042818,668,8968
73,73_trigger,,15,0.12651624848914933,95.79616413916146,8591,8968
74,74_trigger,,15,0.03033692408834952,98.80686886708297,8861,8968
41,41_trigger,,15,0.016318505491803206,99.29750223015165,8905,8968
51,51_trigger,,15,0.06821360992169902,96.76628010704728,8678,8968
global,combine,,15,1.347486636343011,50.535236396074936,4532,8968
global,global_in_73_trigger,,15,4.978976633376463,1.2934879571810882,116,8968
global,global_in_74_trigger,,15,4.48272163755228,2.007136485280999,180,8968
global,global_in_51_trigger,,15,4.075384931198514,3.2783229259589652,294,8968
global,global_in_41_trigger,,15,2.1590933680640703,27.442016057091884,2461,8968
73,73_trigger,,16,0.024078776840686326,98.98528099910794,8877,8968
74,74_trigger,,16,0.004809016513386402,99.84388938447815,8954,8968
51,51_trigger,,16,0.015039167874460512,99.33095450490633,8908,8968
41,41_trigger,,16,0.042437790674298155,98.14897413024084,8802,8968
global,combine,,16,0.9974780831349737,68.30954504906333,6126,8968
global,global_in_74_trigger,,16,6.023639802311703,0.3902765388046387,35,8968
global,global_in_41_trigger,,16,5.340920865588907,0.8920606601248885,80,8968
global,global_in_51_trigger,,16,4.681250715553495,1.9736842105263157,177,8968
global,global_in_73_trigger,,16,2.318855911360374,34.611953612845674,3104,8968
74,74_trigger,,17,0.005825181195026814,99.89964317573595,8959,8968
41,41_trigger,,17,0.015480814041252258,99.42016057091882,8916,8968
51,51_trigger,,17,0.012766683740323463,99.44246208742194,8918,8968
73,73_trigger,,17,0.0392764294444186,98.40544157002677,8825,8968
global,combine,,17,0.19363055132947576,93.00847457627118,8341,8968
global,global_in_51_trigger,,17,4.479902408678121,2.2190008920606603,199,8968
global,global_in_73_trigger,,17,3.1971376885483034,9.511596788581624,853,8968
global,global_in_41_trigger,,17,2.2455677399137635,21.47636039250669,1926,8968
global,global_in_74_trigger,,17,0.950255416632762,70.60660124888493,6332,8968
51,51_trigger,,18,0.0014812265901183001,99.9442462087422,8963,8968
73,73_trigger,,18,3.101116027757232e-06,100.0,8968,8968
41,41_trigger,,18,0.017101466842877788,99.40900981266726,8915,8968
74,74_trigger,,18,0.023214097304662736,98.98528099910794,8877,8968
global,combine,,18,0.07942984941981261,97.35727029438002,8731,8968
global,global_in_51_trigger,,18,4.375039348636324,3.8247100802854597,343,8968
global,global_in_73_trigger,,18,2.4187037128087776,27.76538804638715,2490,8968
global,global_in_74_trigger,,18,1.7558465856829464,39.60749330954505,3552,8968
global,global_in_41_trigger,,18,0.790000659828203,77.15209634255129,6919,8968
51,51_trigger,,19,0.0005899785003056488,99.98884924174844,8967,8968
73,73_trigger,,19,0.006180333276145564,99.75468331846565,8946,8968
74,74_trigger,,19,0.00311041562277454,99.8550401427297,8955,8968
41,41_trigger,,19,0.03441330296751552,98.70651204281891,8852,8968
global,combine,,19,0.046305758059890914,98.49464763603925,8833,8968
global,global_in_74_trigger,,19,3.4895148768582374,11.462979482604817,1028,8968
global,global_in_51_trigger,,19,1.5633284067278137,50.90321141837645,4565,8968
global,global_in_41_trigger,,19,1.166405360683812,59.400089206066006,5327,8968
global,global_in_73_trigger,,19,0.7310808986345644,80.9879571810883,7263,8968
74,74_trigger,,20,0.00274689610966296,99.87734165923283,8957,8968
51,51_trigger,,20,0.01560275018564393,99.40900981266726,8915,8968
41,41_trigger,,20,0.016787143367708673,99.43131132917038,8917,8968
73,73_trigger,,20,0.017687806209146277,99.36440677966102,8911,8968
global,combine,,20,0.016678217378116145,99.47591436217664,8921,8968
global,global_in_41_trigger,,20,2.518163515774934,21.36485280999108,1916,8968
global,global_in_74_trigger,,20,0.8882650705876891,68.3764495985727,6132,8968
global,global_in_73_trigger,,20,0.5914136453147024,77.17439785905441,6921,8968
global,global_in_51_trigger,,20,0.5163741303702533,86.18421052631578,7729,8968
41,41_trigger,,21,0.014810480607079922,99.45361284567352,8919,8968
74,74_trigger,,21,0.00021326407852249171,99.98884924174844,8967,8968
73,73_trigger,,21,0.01492129894072698,99.45361284567352,8919,8968
51,51_trigger,,21,0.020822711606254204,99.1079393398751,8888,8968
global,combine,,21,0.010715458573461713,99.5985727029438,8932,8968
global,global_in_73_trigger,,21,1.2295863599675134,55.028991971454055,4935,8968
global,global_in_41_trigger,,21,0.46154956101713224,85.02453166815343,7625,8968
global,global_in_74_trigger,,21,0.29693735394889387,90.20963425512934,8090,8968
global,global_in_51_trigger,,21,0.4280802308516137,89.28412132024978,8007,8968
73,73_trigger,,22,0.0,100.0,8968,8968
41,41_trigger,,22,0.010616979191176518,99.53166815343444,8926,8968
74,74_trigger,,22,0.0017791276404464543,99.93309545049064,8962,8968
51,51_trigger,,22,0.03822491713981273,98.5950044603033,8842,8968
global,combine,,22,0.0029961313036716065,99.86619090098127,8956,8968
global,global_in_41_trigger,,22,0.48547113079986437,81.3893844781445,7299,8968
global,global_in_51_trigger,,22,0.34004925406080183,88.97190008920607,7979,8968
global,global_in_74_trigger,,22,0.16888174716379895,94.33541480820696,8460,8968
global,global_in_73_trigger,,22,0.37266263528664684,90.75602140945584,8139,8968
41,41_trigger,,23,0.01146367254843738,99.542818911686,8927,8968
51,51_trigger,,23,0.007742389466449034,99.71008028545941,8942,8968
74,74_trigger,,23,0.0025389296582607754,99.87734165923283,8957,8968
73,73_trigger,,23,0.03067313839734397,99.11909009812668,8889,8968
global,combine,,23,0.000883290333925921,99.96654772524532,8965,8968
global,global_in_51_trigger,,23,0.2020564378371311,92.72970561998216,8316,8968
global,global_in_41_trigger,,23,0.1737040153552548,94.4134701159679,8467,8968
global,global_in_74_trigger,,23,0.07766051205867082,97.50223015165031,8744,8968
global,global_in_73_trigger,,23,0.2645454576978619,93.94513826940232,8425,8968
51,51_trigger,,24,0.0003676467294765081,100.0,8968,8968
41,41_trigger,,24,0.014675245032161745,99.37555753791257,8912,8968
74,74_trigger,,24,0.001898215931116825,99.92194469223907,8961,8968
73,73_trigger,,24,0.01615222228241203,99.3978590544157,8914,8968
global,combine,,24,0.0002467113529519246,99.98884924174844,8967,8968
global,global_in_41_trigger,,24,0.16168322565613927,94.04549509366636,8434,8968
global,global_in_73_trigger,,24,0.13771883119146916,95.04906333630687,8524,8968
global,global_in_74_trigger,,24,0.057345891815845346,98.1043710972346,8798,8968
global,global_in_51_trigger,,24,0.21813074037612123,94.91525423728814,8512,8968
41,41_trigger,,25,0.01268858714525334,99.49821587867976,8923,8968
73,73_trigger,,25,0.006960556292445052,99.71008028545941,8942,8968
74,74_trigger,,25,0.0008078708664337412,99.97769848349688,8966,8968
51,51_trigger,,25,0.023035051940532996,99.00758251561106,8879,8968
global,combine,,25,7.998222624189033e-05,100.0,8968,8968
global,global_in_73_trigger,,25,0.14338415017705428,94.42462087421944,8468,8968
global,global_in_74_trigger,,25,0.11149974398245997,95.96342551293488,8606,8968
global,global_in_41_trigger,,25,0.048884690184657936,98.28278322925958,8814,8968
global,global_in_51_trigger,,25,0.20450244521937996,95.41703835860838,8557,8968
