model,epoch,average_loss,accuracy,correct_data,total_data
41,11,0.9041101815017816,61.30686886708296,5498,8968
73,11,0.8269137253620921,70.88537020517394,6357,8968
51,11,0.5532629799885371,78.90276538804639,7076,8968
74,11,0.168307596078204,92.10526315789474,8260,8968
global,11,2.6043959506168415,5.352363960749331,480,8968
41,12,1.0678119691326404,44.68108831400535,4007,8968
51,12,0.3213645135526887,88.68198037466549,7953,8968
73,12,0.629138335439374,69.29081177520071,6214,8968
74,12,0.08307475454932499,96.49866190900981,8654,8968
global,12,5.257495403289795,1.650312221231044,148,8968
41,13,0.9057084063564849,54.64986619090099,4901,8968
74,13,0.4151408495539326,82.27029438001784,7378,8968
51,13,0.12205904453035767,95.76271186440678,8588,8968
73,13,0.10635458075877173,95.53969669937555,8568,8968
global,13,3.3308691302119993,5.675735950044603,509,8968
51,14,0.5662999051048966,74.20829616413917,6655,8968
41,14,0.07790585340770838,96.81088314005353,8682,8968
74,14,0.016437346372216687,99.40900981266726,8915,8968
73,14,0.03249657418359533,98.67305976806423,8849,8968
global,14,2.9119586032166427,10.370205173951828,930,8968
73,15,0.022269402756077385,99.40900981266726,8915,8968
74,15,0.03741990340778888,98.28278322925958,8814,8968
41,15,0.013403787088567863,99.37555753791257,8912,8968
51,15,0.03598174148533713,98.38314005352365,8823,8968
global,15,1.347486636343011,50.535236396074936,4532,8968
73,16,0.0125890402571962,99.48706512042818,8922,8968
74,16,0.0038198113103837254,99.84388938447815,8954,8968
51,16,0.01111280626639888,99.56512042818912,8929,8968
41,16,0.01588256139906829,99.27520071364853,8903,8968
global,16,0.9974780831349737,68.30954504906333,6126,8968
74,17,0.0012784338365417918,99.95539696699376,8964,8968
41,17,0.027186685676408046,98.84032114183765,8864,8968
51,17,0.006382505309614459,99.69892952720785,8941,8968
73,17,0.004324581884352489,99.7992863514719,8950,8968
global,17,0.19363055132947576,93.00847457627118,8341,8968
51,18,0.0008617244104925167,99.96654772524532,8965,8968
73,18,1.9718983832897614e-06,100.0,8968,8968
41,18,0.008315776561758411,99.69892952720785,8941,8968
74,18,0.0003515930317795282,100.0,8968,8968
global,18,0.07942984941981261,97.35727029438002,8731,8968
51,19,0.0003854137072899011,99.98884924174844,8967,8968
73,19,0.0015564027108000253,99.93309545049064,8962,8968
74,19,3.726586730451726e-05,100.0,8968,8968
41,19,0.0003255123761447333,99.98884924174844,8967,8968
global,19,0.046305758059890914,98.49464763603925,8833,8968
74,20,0.0006003682385679293,99.98884924174844,8967,8968
51,20,0.0018454825530110266,99.93309545049064,8962,8968
41,20,0.0019914608841073394,99.92194469223907,8961,8968
73,20,7.118241956082368e-07,100.0,8968,8968
global,20,0.016678217378116145,99.47591436217664,8921,8968
41,21,0.006335708346587272,99.75468331846565,8946,8968
74,21,3.712129881469442e-07,100.0,8968,8968
73,21,3.8003492008975094e-05,100.0,8968,8968
51,21,1.1072256761116499e-06,100.0,8968,8968
global,21,0.010715458573461713,99.5985727029438,8932,8968
73,22,0.0,100.0,8968,8968
41,22,0.00017274011560502165,99.98884924174844,8967,8968
74,22,4.90792843162846e-07,100.0,8968,8968
51,22,1.1303755950271727e-06,100.0,8968,8968
global,22,0.0029961313036716065,99.86619090098127,8956,8968
41,23,0.0004666808912815733,99.97769848349688,8966,8968
51,23,2.448861869800994e-06,100.0,8968,8968
74,23,9.843674846281556e-08,100.0,8968,8968
73,23,1.3239379121011379e-08,100.0,8968,8968
global,23,0.000883290333925921,99.96654772524532,8965,8968
51,24,1.3695814457440641e-07,100.0,8968,8968
41,24,8.175065609026386e-06,100.0,8968,8968
74,24,2.2716827396288995e-08,100.0,8968,8968
73,24,8.108565079166906e-10,100.0,8968,8968
global,24,0.0002467113529519246,99.98884924174844,8967,8968
41,25,3.250022707213142e-05,100.0,8968,8968
73,25,5.065859357184484e-07,100.0,8968,8968
74,25,2.8579283414000643e-09,100.0,8968,8968
51,25,1.2548132289604264e-08,100.0,8968,8968
global,25,7.998222624189033e-05,100.0,8968,8968
