model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
41,41_trigger,,11,0.9316827171514547,62.83452274754683,5635,8968
73,73_trigger,,11,1.0343279115436972,45.09366636931311,4044,8968
51,51_trigger,,11,0.7824909973101994,62.62265834076717,5616,8968
74,74_trigger,,11,0.22813639887521353,89.48483496877788,8025,8968
global,combine,,11,12.013490194512945,0.4683318465655665,42,8968
global,global_in_41_trigger,,11,12.517578805588272,0.423728813559322,38,8968
global,global_in_73_trigger,,11,12.466111277598127,0.44603033006244425,40,8968
global,global_in_51_trigger,,11,12.474419727376484,0.4348795718108831,39,8968
global,global_in_74_trigger,,11,11.888140215605736,0.47948260481712757,43,8968
41,41_trigger,,12,0.8960004872663228,60.548617305976805,5430,8968
73,73_trigger,,12,1.1180532344423375,43.20918822479929,3875,8968
51,51_trigger,,12,0.7172792761800121,66.11284567350579,5929,8968
74,74_trigger,,12,0.1413226934493811,93.82247992863515,8414,8968
global,combine,,12,11.23166497066338,0.5017841213202497,45,8968
global,global_in_41_trigger,,12,11.688510385184921,0.3902765388046387,35,8968
global,global_in_73_trigger,,12,11.64147451708723,0.40142729705619984,36,8968
global,global_in_51_trigger,,12,11.647836710702725,0.40142729705619984,36,8968
global,global_in_74_trigger,,12,11.121911967683328,0.5017841213202497,45,8968
41,41_trigger,,13,0.8380826836606416,60.504014272970565,5426,8968
73,73_trigger,,13,1.0579988779392124,45.99687778768956,4125,8968
51,51_trigger,,13,0.7554048016919928,63.994201605709186,5739,8968
74,74_trigger,,13,0.15510146127121455,93.19803746654772,8358,8968
global,combine,,13,10.961612058260098,0.31222123104371097,28,8968
global,global_in_41_trigger,,13,11.378035921374142,0.2676181980374665,24,8968
global,global_in_73_trigger,,13,11.335442145736382,0.2676181980374665,24,8968
global,global_in_51_trigger,,13,11.342103977696796,0.27876895628902765,25,8968
global,global_in_74_trigger,,13,10.866835087989719,0.28991971454058874,26,8968
41,41_trigger,,14,1.0938827579410666,44.94870651204282,4031,8968
73,73_trigger,,14,1.0241843227506429,45.205173951828726,4054,8968
51,51_trigger,,14,0.7242884959736432,67.65165031222124,6067,8968
74,74_trigger,,14,0.15280244635695545,93.71097234611953,8404,8968
global,combine,,14,10.710122363680075,0.32337198929527206,29,8968
global,global_in_41_trigger,,14,11.114733475643433,0.3010704727921499,27,8968
global,global_in_73_trigger,,14,11.074811097450494,0.3010704727921499,27,8968
global,global_in_51_trigger,,14,11.078283513262269,0.3010704727921499,27,8968
global,global_in_74_trigger,,14,10.623353400898235,0.3456735057983943,31,8968
41,41_trigger,,15,0.8364785682612716,64.03880463871543,5743,8968
73,73_trigger,,15,1.0408537973791867,48.61730597680642,4360,8968
51,51_trigger,,15,0.719655719747722,66.54772524531668,5968,8968
74,74_trigger,,15,0.1588238666197958,92.62934879571812,8307,8968
global,combine,,15,10.990350276630547,0.25646743978590547,23,8968
global,global_in_41_trigger,,15,11.375296130763113,0.211864406779661,19,8968
global,global_in_73_trigger,,15,11.336820588805226,0.211864406779661,19,8968
global,global_in_51_trigger,,15,11.339583464970449,0.22301516503122212,20,8968
global,global_in_74_trigger,,15,10.910415736189067,0.2676181980374665,24,8968
41,41_trigger,,16,0.9506080506317962,57.10303300624442,5121,8968
73,73_trigger,,16,1.0657532154503515,46.74397859054415,4192,8968
51,51_trigger,,16,0.7458333340635478,62.42194469223907,5598,8968
74,74_trigger,,16,0.17619462828355426,91.92685102586977,8244,8968
