model,epoch,average_loss,accuracy,correct_data,total_data
41,11,0.8779489278367967,65.96788581623551,5916,8968
73,11,0.9114295241026661,53.92506690454951,4836,8968
51,11,0.6460474226540694,76.18198037466549,6832,8968
74,11,0.16910950144973852,92.5178412132025,8297,8968
global,11,12.013490194512945,0.4683318465655665,42,8968
41,12,0.8546561928437715,63.63737734165923,5707,8968
73,12,1.025731408893796,49.23059768064228,4415,8968
51,12,0.5169632723031568,81.35593220338984,7296,8968
74,12,0.10426506552268668,95.8407671721677,8595,8968
global,12,11.23166497066338,0.5017841213202497,45,8968
41,13,0.7957211803050045,64.12801070472793,5751,8968
73,13,0.9675773947925891,52.99955396966993,4753,8968
51,13,0.6054834454427543,75.88090990187332,6805,8968
74,13,0.12178307556340356,94.79259589652096,8501,8968
global,13,10.961612058260098,0.31222123104371097,28,8968
41,14,1.0701724370604218,46.888938447814446,4205,8968
73,14,0.9159422436534668,52.2636039250669,4687,8968
51,14,0.5006286200405125,87.17662801070473,7818,8968
74,14,0.1009621929566739,96.55441570026761,8659,8968
global,14,10.710122363680075,0.32337198929527206,29,8968
41,15,0.7958284098053489,66.88224799286353,5998,8968
73,15,0.9120418170963835,56.846565566458516,5098,8968
51,15,0.5350131898134761,82.37065120428188,7387,8968
74,15,0.13742918790343828,94.03434433541481,8433,8968
global,15,10.990350276630547,0.25646743978590547,23,8968
41,16,0.9080574969751934,60.42595896520964,5419,8968
73,16,0.9406625852321111,56.110615521855486,5032,8968
51,16,0.5025963845474182,84.93532560214095,7617,8968
74,16,0.14005389905316185,93.65521855486173,8399,8968
global,16,10.921206359454928,0.3010704727921499,27,8968
41,17,1.1691172658918587,45.96342551293488,4122,8968
73,17,0.7444784942745205,82.4821587867975,7397,8968
51,17,0.5114634134852386,86.86440677966102,7790,8968
74,17,0.13331059004237458,94.14585191793043,8443,8968
global,17,10.931695064405156,0.2676181980374665,24,8968
41,18,0.7290543416161074,69.23505798394291,6209,8968
73,18,0.7864337662412693,66.33586083853702,5949,8968
51,18,0.441404019212425,89.2729705619982,8006,8968
74,18,0.14351613214779496,93.90053523639608,8421,8968
global,18,10.429702122439028,0.32337198929527206,29,8968
41,19,0.8067655159786915,62.3550401427297,5592,8968
73,19,0.8368089091129116,64.15031222123105,5753,8968
51,19,0.6040691623828115,79.77252453166815,7154,8968
74,19,0.12325465027824456,94.8371989295272,8505,8968
global,19,10.324766622708378,0.32337198929527206,29,8968
41,20,1.068849994017544,52.55352363960749,4713,8968
73,20,0.8936573360032211,51.81757359500446,4647,8968
51,20,0.5193357981282829,86.79750223015165,7784,8968
74,20,0.14912981052785768,93.75557537912577,8408,8968
global,20,10.202669142826023,0.35682426404995543,32,8968
41,21,0.7967527654955794,67.32827832292597,6038,8968
73,21,0.869033894083736,56.422836752899194,5060,8968
51,21,0.6230360395029971,74.92194469223907,6719,8968
74,21,0.12552899901192704,94.77029438001784,8499,8968
global,21,10.069573168452566,0.31222123104371097,28,8968
41,22,0.911644633969061,54.036574487065124,4846,8968
73,22,0.797180387348495,70.11596788581623,6288,8968
51,22,0.4147297131706837,92.88581623550401,8330,8968
74,22,0.11046811177941117,95.60660124888493,8574,8968
global,22,9.765264055964991,0.45718108831400533,41,8968
41,23,0.8367811808301124,61.920160570918824,5553,8968
73,23,0.9155431374920786,62.51115075825157,5606,8968
51,23,0.6613776615748546,72.39072256913471,6492,8968
74,23,0.13546388130385784,94.16815343443355,8445,8968
global,23,9.805510125343126,0.423728813559322,38,8968
41,24,0.8301376183579587,63.31400535236396,5678,8968
73,24,0.880182982714021,55.385816235504016,4967,8968
51,24,0.5372006436419423,85.2921498661909,7649,8968
74,24,0.15350799967038856,93.26494201605709,8364,8968
global,24,9.923806342772348,0.3902765388046387,35,8968
41,25,0.7680715173615822,70.07136485280999,6284,8968
73,25,0.8251094466123488,62.03166815343444,5563,8968
51,25,0.6313684844311384,75.0892060660125,6734,8968
74,25,0.13853024612251508,94.62533452274755,8486,8968
global,25,9.565247403841589,0.524085637823372,47,8968
41,26,0.8488339090006995,66.17975022301516,5935,8968
73,26,0.8131331203241203,58.418822479928636,5239,8968
51,26,0.6078343447779674,76.08162355040142,6823,8968
74,26,0.16111179541573792,92.87466547725245,8329,8968
global,26,9.780145439263649,0.5798394290811775,52,8968
